,bab,ayat,jawa,indo
88,Ratapan 3,42,"Kawula sampun nerak lan mbalela, mangka Paduka boten paring pangapunten.","Kami telah mendurhaka dan memberontak, Engkau tidak mengampuni."
89,Ratapan 3,43,"Paduka singeban bebendu, sarta mbujeng kawula, Paduka pejahi tanpa piwelas.","Engkau menyelubungi diri-Mu dengan murka, mengejar kami dan membunuh kami tanpa belas kasihan."
90,Ratapan 3,44,"Paduka singeban mendhung, satemah pandonga kawula boten saged nembus.","Engkau menyelubungi diri-Mu dengan awan, sehingga doa tak dapat menembus."
91,Ratapan 3,45,Kawula sami Paduka dadosaken jember lan nistha wonten ing satengahipun para bangsa.,Kami Kaujadikan kotor dan keji di antara bangsa-bangsa.
92,Ratapan 3,46,"Sakathahipun mengsah kawula, sami ngungel-ungelaken kawula.",Terhadap kami semua seteru kami mengangakan mulutnya.
93,Ratapan 3,47,"Kawula kataman pagiris sarta kalajiret, karisakan lan pagempuran.","Kejut dan jerat menimpa kami, kemusnahan dan kehancuran."
94,Ratapan 3,48,Luh kawula mili kados lepen awit saking risaking putrinipun bangsa kawula.,"Air mataku mengalir bagaikan batang air, karena keruntuhan puteri bangsaku."
95,Ratapan 3,49,"Luh kawula tansah crocosan, tanpa wonten kendelipun;","Air mataku terus-menerus bercucuran, dengan tak henti-hentinya,"
96,Ratapan 3,50,ngantos Pangeran Yehuwah ngudaneni saking nginggil saha mirsani saking swarga.,sampai TUHAN memandang dari atas dan melihat dari sorga.
97,Ratapan 3,51,Mripat kawula ngantos kraos perih awit saking kawontenanipun para putri ing kitha kawula.,Mataku terasa pedih oleh sebab keadaan puteri-puteri kotaku.
98,Ratapan 3,52,Kawula dipun uber-uber kados peksi dening tiyang ingkang sami mengsah dhateng kawula tanpa sabab.,Seperti burung aku diburu-buru oleh mereka yang menjadi seteruku tanpa sebab.
99,Ratapan 3,53,"Kawula dipun cemplungaken dhateng luweng gesang-gesangan, sarta dipun banggali sela.","Mereka melemparkan aku hidup-hidup dalam lobang, melontari aku dengan batu."
100,Ratapan 3,54,"Toya mbanjiri sirah kawula, kawula nginten: “Bilai aku saiki.”","Air membanjir di atas kepalaku, kusangka: ""Binasa aku!"""
101,Ratapan 3,55,"“Dhuh Yehuwah, kawula nyebut asma Paduka saking dhasaring luweng ingkang lebet.","""Ya TUHAN, aku memanggil nama-Mu dari dasar lobang yang dalam."
102,Ratapan 3,56,Paduka miyarsakaken swara kawula. Paduka sampun ngantos nutupi talingan Paduka tumrap pangadhuh saha pasambat kawula.,Engkau mendengar suaraku! Janganlah Kaututupi telinga-Mu terhadap kesahku dan teriak tolongku!
103,Ratapan 3,57,"Nalika kawula sesambat dhateng Paduka, Paduka celak sarta ngandika: Aja wedi.”","Engkau dekat tatkala aku memanggil-Mu, Engkau berfirman: Jangan takut!"""
104,Ratapan 3,58,"“Dhuh Yehuwah, Paduka sampun mbelani prakawis kawula, sarta sampun ngluwari gesang kawula.","""Ya Tuhan, Engkau telah memperjuangkan perkaraku, Engkau telah menyelamatkan hidupku."
105,Ratapan 3,59,"Dhuh Yehuwah, Paduka sampun nguningani anggen kawula dipun etrapi ingkang boten adil; Paduka mugi karsaa maringi kaadilan!","Engkau telah melihat ketidakadilan terhadap aku, ya TUHAN; berikanlah keadilan!"
106,Ratapan 3,60,Paduka sampun nguningani pangigit-igitipun tiyang-tiyang wau saha sadaya pangrantamipun dhateng kawula.”,"Engkau telah melihat segala dendam mereka, segala rancangan mereka terhadap aku."""
107,Ratapan 3,61,"“Dhuh Yehuwah, Paduka sampun midhangetaken pamemadanipun, dalah pangrantamipun dhateng kawula;","""Engkau telah mendengar cercaan mereka, ya TUHAN, segala rancangan mereka terhadap aku,"
108,Ratapan 3,62,"punapadene wicantenipun tiyang-tiyang ingkang sami nglawan dhateng kawula, sarta malih pangangen-angenipun awon tumrap kawula sadinten muput!","percakapan orang-orang yang melawan aku, dan rencana mereka terhadap aku sepanjang hari."
109,Ratapan 3,63,"Mugi Paduka pirsani ngadeg-linggihipun, kawula kadadosaken lagu pepoyokanipun.”","Amatilah duduk bangun mereka! Aku menjadi lagu ejekan mereka."""
110,Ratapan 3,64,"“Dhuh Yehuwah, Paduka badhe nandukaken piwales dhateng tiyang-tiyang wau, miturut ing sapandamelipun.","""Engkau akan mengadakan pembalasan terhadap mereka, ya TUHAN, menurut perbuatan tangan mereka."
111,Ratapan 3,65,"Paduka badhe mangkotaken manahipun, mugi sami kadhawahana laknat Paduka.",Engkau akan mengeraskan hati mereka; kiranya kutuk-Mu menimpa mereka!
112,Ratapan 3,66,"Dhuh Yehuwah, Paduka badhe mbujeng tiyang-tiyang wau klayan bebendu, sarta sami badhe Paduka sirnakaken saking sangandhaping langit!”","Engkau akan mengejar mereka dengan murka dan memunahkan mereka dari bawah langit, ya TUHAN!"""
113,Ratapan 4,0,Kasangsarane Sion kang nggegirisi,Sengsara Sion yang dahsyat
114,Ratapan 4,1,"Adhuh lae, emas iku kok surem temen, emas murni kok malih; watu-watu suci iku padha kabuwang ana ing pojoke saben lurung.","Ah, sungguh pudar emas itu, emas murni itu berubah; batu-batu suci itu terbuang di pojok tiap jalan."
115,Ratapan 4,2,"Para anake Sion kang aji, padha karo kaya emas tuwa, adhuh, kok dipadhakake karo pengaron lemah gaweaning tangane kundhi.","Anak-anak Sion yang berharga, yang setimbang dengan emas tua, sungguh mereka dianggap belanga-belanga tanah buatan tangan tukang periuk."
116,Ratapan 4,3,"Sanadyan asu ajag iya ngulungake susune nusoni anake, nanging putrining bangsaku wus dadi mentala, kaya manuk unta ing sagara wedhi.","Serigalapun memberikan teteknya dan menyusui anak-anaknya, tetapi puteri bangsaku telah menjadi kejam seperti burung unta di padang pasir."
117,Ratapan 4,4,"Ilate bocah pasuson kraket ing cethake dening kasatan; bocah-bocah padha njaluk roti, nanging ora ana kang ngwenehi.","Lidah bayi melekat pada langit-langit karena haus; kanak-kanak meminta roti, tetapi tak seorangpun yang memberi."
118,Ratapan 4,5,"Wong kang kulina mangan kang sarwa enak, padha kaluwen ana ing lelurung, kang kulina linggih ing bantal gluga, padha nglemprak ana ing pawuhan.",Yang biasa makan yang sedap-sedap mati bulur di jalan-jalan; yang biasa duduk di atas bantal kirmizi terbaring di timbunan sampah.
119,Ratapan 4,6,"Durakaning putrine bangsaku ngungkuli dosane Sodom, kang diwalik sajroning sakedhep netra, tanpa katiban ing tangan.","Kedurjanaan puteri bangsaku melebihi dosa Sodom, yang sekejap mata dibongkar-bangkir tanpa ada tangan yang memukulnya."
120,Ratapan 4,7,"Para pemimpine resike ngungkuli salju, lan luwih putih tinimbang susu, abanging awake ngungkuli merjan, pasemone memper watu manila;","Pemimpin-pemimpin lebih bersih dari salju dan lebih putih dari susu, tubuh mereka lebih merah dari pada merjan, seperti batu nilam rupa mereka."
121,Ratapan 4,8,"nanging saiki rupane ireng ngungkuli angus, kang ana ing lurung-lurung padha pangling, kulite kelet karo balung-balunge, garing kaya kayu.","Sekarang rupa mereka lebih hitam dari pada jelaga, mereka tidak dikenal di jalan-jalan, kulit mereka berkerut pada tulang-tulangnya, mengering seperti kayu."
122,Ratapan 4,9,"Luwih begja kang kapupu ing pedhang, tinimbang kang mati kaluwen, kang ngenes lan mati marga tegale ora ana pametune.","Lebih bahagia mereka yang gugur karena pedang dari pada mereka yang tewas karena lapar, yang merana dan mati sebab tak ada hasil ladang."
123,Ratapan 4,10,"Tangane wong wadon kang welasan wus padha ngolah anak-anake, kanggo pangane nalika putrining bangsaku rusak.","Dengan tangan sendiri wanita yang lemah lembut memasak kanak-kanak mereka, untuk makanan mereka tatkala runtuh puteri bangsaku."
124,Ratapan 4,11,"Pangeran Yehuwah wus ngebyukake sakehe bramatyane, ngesokake bebendune kang mulad-mulad, sarta wus nyumed geni ana ing Sion kang mangsa dhasar-dhasare.","TUHAN melepaskan segenap amarah-Nya, mencurahkan murka-Nya yang menyala-nyala, dan menyalakan api di Sion, yang memakan dasar-dasarnya."
125,Ratapan 4,12,Para raja ing sajagad lan sarupane wong isine donya padha ora pracaya yen mungsuh lan satru bisa lumebu ing gapurane Yerusalem.,"Tidak percaya raja-raja di bumi, pun seluruh penduduk dunia, bahwa lawan dan seteru dapat masuk ke dalam gapura-gapura Yerusalem."
126,Ratapan 4,13,"Iku kelakon mangkono marga saka dosane para nabine lan pialane para imame, kang padha ngwutahake getihe wong kang ora luput, kang ana ing satengahe.",Hal itu terjadi oleh sebab dosa nabi-nabinya dan kedurjanaan imam-imamnya yang di tengah-tengahnya mencurahkan darah orang yang tidak bersalah.
127,Ratapan 4,14,"Padha nuk-nukan kaya wong tuna-netra ana ing lurung-lurung, najis dening getih, nganti wong ora bisa nggepok marang sandhangane.","Mereka terhuyung-huyung seperti orang buta di jalan-jalan, cemar oleh darah, sehingga orang tak dapat menyentuh pakaian mereka."
128,Ratapan 4,15,"Paha dielokake: “Sumingkir, najis. Sumingkir, sumingkir, aja nggepok!”, nuli padha lunga lan nglambrang; para bangsa banjur padha ngucap: “Iku padha ora kena manggon ana ing kene maneh!”","""Singkir! Najis!"", kata orang kepada mereka, ""Singkir! Singkir! Jangan sentuh!""; lalu mereka lari dan mengembara, maka berkatalah bangsa-bangsa: ""Mereka tak boleh tinggal lebih lama di sini."""
129,Ratapan 4,16,"Pangeran Yehuwah piyambak mbuyarake wong-wong mau, bakal ora diudaneni maneh. Para imam padha ora diajeni dalah para wong tuwa iya ora diwelasi.","TUHAN sendiri mencerai-beraikan mereka, tak mau lagi Ia memandang mereka. Para imam tidak mereka hormati, dan orang-orang tua tidak mereka kasihani."
130,Ratapan 4,17,"Mripatku tansah ngarep-arep pitulungan, nanging tanpa guna; saka menara pajagan olehku ngarep-arep marang bangsa kang ora bisa mitulungi.","Selalu mata kami merindukan pertolongan, tetapi sia-sia; dari menara penjagaan kami menanti-nantikan suatu bangsa yang tak dapat menolong."
131,Ratapan 4,18,"Wong-wong mau padha ndingkik lakuku, nganti aku padha ora bisa metu ing alun-alunku; wus ndungkap ajalku, wus puput uripku, aku wus padha tekan ing wekasaning uripku.","Mereka mengintai langkah-langkah kami, sehingga kami tak dapat berjalan di lapangan-lapangan kami; akhir hidup kami mendekat, hari-hari kami sudah genap, ya, akhir hidup kami sudah tiba."
132,Ratapan 4,19,"Kang padha ngoyak-oyak aku rikate ngungkuli manuk garudha ing awang-awang, aku padha diburu ana ing gunung-gunung, lan dicegat ana ing pasamunan.","Pengejar-pengejar kami lebih cepat dari pada burung rajawali di angkasa mereka memburu kami di atas gunung-gunung, menghadang kami di padang gurun."
133,Ratapan 4,20,"Wong kang jinebadan dening Pangeran Yehuwah, napasing uripku kabeh kacemplung ing luwenganing wong-wong mau, wong kang dakkira: “Ana ing pangaubane aku bakal padha urip ana ing tengahe para bangsa.”","Orang yang diurapi TUHAN, nafas hidup kami, tertangkap dalam pelubang mereka, dia yang kami sangka: ""Dalam naungannya kami akan hidup di antara bangsa-bangsa."""
134,Ratapan 4,21,"Heh, putri ing Edom, kang manggon ing tanah Us, bungaha lan giyak-giyaka, tuwunge uga bakal tumeka ing kowe, kowe bakal mendem nganti kawudan.","Bergembira dan bersukacitalah, hai puteri Edom, engkau yang mendiami tanah Us, juga kepadamu piala akan sampai, engkau akan jadi mabuk lalu menelanjangi dirimu!"
135,Ratapan 4,22,"He, putri ing Sion, kaluputanmu wus ilang, Pangeran Yehuwah ara bakal marengake kowe dibuwang maneh, nanging kaluputanmu, he putri ing Edom, bakal diwales lan dosa-dosamu bakal digelar.","Telah hapus kesalahanmu, puteri Sion, tak akan lagi TUHAN membawa engkau ke dalam pembuangan, tetapi kesalahanmu, puteri Edom, akan dibalas-Nya, dan dosa-dosamu akan disingkapkan-Nya."
