,bab,ayat,jawa,indo
104,Kidung Agung 7,5,"Sirahmu kadi gunung Karmel, rambuting sirahmu wungu semu abang; sawijining ratu kecanthol ing klabangane.","Kepalamu seperti bukit Karmel, rambut kepalamu merah lembayung; seorang raja tertawan dalam kepang-kepangnya."
105,Kidung Agung 7,0,Manising tresna,Kenikmatan cinta
106,Kidung Agung 7,6,"Kowe iku sulistya lan endah banget warnamu, heh kang kinasihan ana ing satengahing kang gawe seneng.","Betapa cantik, betapa jelita engkau, hai tercinta di antara segala yang disenangi."
107,Kidung Agung 7,7,"Wanguning awakmu kadi wit kurma, lan payudaramu pindha dhompolane.",Sosok tubuhmu seumpama pohon korma dan buah dadamu gugusannya.
108,Kidung Agung 7,8,"Tembungku: “Aku kepengin menek ing wit kurma iku, lan nyekel dhompolan-dhompolane. Payudaramu kaya dhompolan anggur, lan napasing irungmu lir woh apel.","Kataku: ""Aku ingin memanjat pohon korma itu dan memegang gugusan-gugusannya Kiranya buah dadamu seperti gugusan anggur dan nafas hidungmu seperti buah apel."
109,Kidung Agung 7,9,"Tembung-tembungmu manis kaya anggur!” Anggur iku malah mili marang ing kekasihku tanpa leren, luber marang ing lambening wong-wong kang lagi padha turu!","Kata-katamu manis bagaikan anggur!"" Ya, anggur itu mengalir kepada kekasihku dengan tak putus-putusnya, melimpah ke bibir orang-orang yang sedang tidur!"
110,Kidung Agung 7,10,"Aku iki duweke kekasihku, kayungyunne tumuju marang aku.","Kepunyaan kekasihku aku, kepadaku gairahnya tertuju."
111,Kidung Agung 7,11,"Dhuh kekasih kawula, sumangga sami ameng-ameng dhateng ara-ara, nyare wonten ing satengahing sekar pacar!","Mari, kekasihku, kita pergi ke padang, bermalam di antara bunga-bunga pacar!"
112,Kidung Agung 7,12,"Sumangga, sami ameng-ameng dhateng ing pakebonan anggur ing wanci umun-umun, lan mirsani punapa witipun anggur sampun medal kuncupipun, punapa sekaripun sampun mekar, wit-witanipun dlima punapa sampun sekar! Wonten ing ngriku kawula badhe ngesokaken katresnan kawula dhumateng Paduka!","Mari, kita pergi pagi-pagi ke kebun anggur dan melihat apakah pohon anggur sudah berkuncup, apakah sudah mekar bunganya, apakah pohon-pohon delima sudah berbunga! Di sanalah aku akan memberikan cintaku kepadamu!"
113,Kidung Agung 7,13,"Gandanipun woh dhudhaim ngambar, sacelaking kori kita wonten woh-wohan maneka warni ingkang eca, ingkang sampun dangu lan ingkang saweg kemawon kapethik. Punika sampun kawula simpen kagem paduka, dhuh kekasih kawula!","Semerbak bau buah dudaim; dekat pintu kita ada pelbagai buah-buah yang lezat, yang telah lama dan yang baru saja dipetik. Itu telah kusimpan bagimu, kekasihku!"
