,text,label
3896,Biasane aku numpak motor,Biasanya saya naik motor
3897,Berhubung motorku lagi diservis dadi gelem gak gelem kudu mlaku,"Karena motorku sedang diservis, jadi suka tidak suka harus berjalan"
3898,Kesalahanku iku malah milih lewat dalan sing sepi,Kesalahanku malah memilih lewat jalan yang sepi
3899,Alesane sih soale luwe cedek,Alasannya sih karena lebih dekat
3900,Nek lewat dalan gede iku kudu muter adoh banget dan aku muales,Kalau lewat jalan besar harus muter jauh banget dan saya malas
3901,Sakjane aku wes ketar ketir iki pas mlaku opo maneh moro aku ngeroso onok sing ngetuti aku ket mburi,"Sebenarnya saya sudah cemas saat berjalan, apalagi saat saya merasa ada yang mengikuti saya dari belakang"
3902,Aku gak wani noleh blas,Saya tidak berani menoleh sama sekali
3903,Aku mek ngerungokno suara langkahe tok sing tambah suwe tambah cedek,Saya hanya mendengar suara langkahnya yang semakin lama semakin dekat
3904,Berhubung aku wes panik aku langsung mlayu,"Karena saya panik, saya langsung lari"
3905,Yo jelas wong iku mau melu ngejar lah,Ya jelas orang itu ikut mengejar saya
3906,Wong iku mau mlayu cuepet dan wes garek sak langkah maneh isok ndemok aku,Orang itu lari cepat dan sudah hampir satu langkah lagi bisa menangkap saya
3907,Cepetcepet aku njupuk kejut listrik nang tasku lan tak wanikno noleh,Cepat-cepat saya mengambil kejutan listrik dari tas dan saya berani menoleh
3908,Ambek tangan gemeter aku nyerang wong sing iku mau nganggo kejut listrik mau sing marakno wong iku kesetrum,Dengan tangan gemetar saya menyerang orang itu dengan kejutan listrik yang membuat orang itu kesetrum
3909,Baru pas wong iku semaput mergo kesetrum aku cepet cepet mlayu nang kosan,"Baru saja orang itu pingsan karena kesetrum, saya cepat-cepat lari ke kosan"
3910,Tahun wingi akeh wong sedih polahe akeh sing kenek PHK,"Tahun lalu banyak orang sedih, karena banyak yang terkena PHK"
3911,Ora wong sing kenek PHK tok sing sedih tapi akeh wong-wong liyane sing ora kenek PHK barang yo melok sedih soale akeh dalan ambek fasilitas umum sing podo ditutup polahe covid,"Bukan hanya yang terkena PHK saja yang sedih, tetapi banyak orang lain yang tidak terkena PHK ikut sedih karena banyak jalan dan fasilitas umum yang ditutup akibat COVID"
3912,PHK gede-gedean tahun winggi koyok musibah masal sing dirasakno wong sak dunyo solae ora nag indonesia tok sing ngerasakno PHK,"PHK massal tahun lalu seperti bencana besar yang dirasakan oleh orang di seluruh dunia, bukan hanya di Indonesia yang merasakannya"
3913,Tapi wong nag luar negeri barang yo akeh sing ngerasakno PHK gede-gedean soale Pabrik Kantor ambek liyan-liyane podo ditutup utowo distop sampek pirang-pirang ulan polahe covid,"Tapi orang di luar negeri juga banyak yang merasakan PHK besar-besaran karena pabrik, kantor, dan lain-lain ditutup atau dihentikan sampai berbulan-bulan akibat COVID"
3914,Terus wong sing kenek PHK maeng doh podo sambat soale ora iso lapo-lapo,Lalu orang yang terkena PHK itu pada mengeluh karena tidak bisa mencari nafkah
3915,Kancoku sing duwe usaha barang yo maleh sepi soale sing tuku podo ora iso tuku,"Temanku yang punya usaha juga sepi, karena pembeli pada tidak bisa membeli"
3916,Kentut iku proses alami nang awak dan isok kedaden pirang kali sak dinone,Kentut itu adalah proses alami dalam tubuh dan bisa terjadi beberapa kali sehari
3917,Frekuensi kentut iku mau bakal isok bertambah nek kandungan gas sing nang weteng iku tambah akeh,Frekuensi kentut tersebut bisa meningkat jika kandungan gas di perut bertambah banyak
3918,Biasane panganan sing melbu nang cangkeme awak dewe iku isok ngaruhi kondisi wetenge awak dewe sisan,Biasanya makanan yang masuk ke mulut kita dapat mempengaruhi kondisi perut kita juga
3919,Onok akeh panganan sing nduwe kandungan gas sing duwur dan marakno awak dewe sering ngentut,Ada banyak makanan yang mengandung gas tinggi yang membuat kita sering kentut
3920,Salah sijine iku kol,Salah satunya adalah kol
3921,Kol iki nduwe kandungan serat sing duwur pol,Kol ini mengandung serat yang sangat tinggi
3922,Kol iku ancen apik gawe awak tapi isok marakno awak dewe luwe sering kentut soale serat iku gak diserap kabeh karo tubuh,"Kol memang baik untuk tubuh, tetapi bisa menyebabkan kita sering kentut karena seratnya tidak sepenuhnya diserap tubuh"
3923,Bakteri sing onok nang usus gede iku nduwe kapasitas gawe manfaatno serat dadi energi,Bakteri yang ada di usus besar memiliki kemampuan untuk mengolah serat menjadi energi
3924,Sisane engkok bakal dadi gas,Sisanya akan menjadi gas
3925,Iku opoo kok kakean mangan kol marakno kembung dan sering kentut,Itulah mengapa kalau terlalu banyak makan kol bisa membuat perut kembung dan sering kentut
3926,Wektu awak dhewe cilik pas lagi lara awak dhewe kerep ora iso ngatur umbele sing metu seko irunge dhewe,"Saat kita kecil dan sedang sakit, sering kali kita tidak bisa mengatur ingus yang keluar dari hidung"
3927,Umbele mesthi beler neng endi-endi,Ingus pasti berceceran di mana-mana
3928,Nanging ono wae siji koncone dhewe sing pas umbelen kui belere bener-bener ora iso diatur,Namun ada satu teman saya yang ketika ingusnya keluar tidak bisa dikendalikan
3929,Koyo koncoku pas cilik,Seperti temanku waktu kecil
3930,Pas kui pancen lagi musim udan,Waktu itu memang sedang musim hujan
3931,Awak dhewe lagi dolan pas kui,Kami sedang bermain saat itu
3932,Awak dhewe lagi dolanan kertu neng ngarep teras omahku,Kami sedang bermain kartu di depan teras rumahku
3933,Terus koncoku sing tak maksud mau teko,Lalu temanku yang saya maksud datang
3934,Seko adoh wae umbele ketok wis metu seko irunge,Dari jauh sudah terlihat ingusnya keluar dari hidungnya
3935,Sak durunge dheweke tekan teras omah aku lan konco-konco sing ono neng kono langsung mlebu omah,"Sebelum dia sampai ke teras rumah, saya dan teman-teman langsung masuk ke rumah"
3936,Awak dhewe jijik karo umbele koncone dhewe kui,Kami jijik dengan ingus teman saya itu
3937,Terus lawange awak dhewe kunci seko jero,Lalu pintu rumah kami kunci dari dalam
3938,Pas SMA aku karo koncoku Fariz melu penelitian ilmiah remaja,"Saat SMA, saya dan temanku Fariz ikut penelitian ilmiah remaja"
3939,Penelitian awak dhewe ngebahas soal peninggalan kerjaan Mataram Islam,Penelitian kami membahas tentang peninggalan Kerajaan Mataram Islam.
3940,Dadi awak dhewe kerep mlaku-mlaku neng Kotagede sing biyen dadi ibu kota Kerajaan Mataram,"Jadi, kami sering berjalan-jalan di Kotagede yang dulu menjadi ibu kota Kerajaan Mataram."
3941,Kebutulan SMA awak dhewe kui uga ono neng Kotagede dadi pas awak dhewe kudu observasi kanggo penelitian kui gampang,"Kebetulan SMA kami juga ada di Kotagede, jadi saat kami harus observasi untuk penelitian itu mudah."
3942,Fariz kui uga wis suwe tinggal neng Kotagede dadi dee kenal kabeh sudut kota tuwo kui,Fariz juga sudah lama tinggal di Kotagede sehingga dia mengenal semua sudut kota tua itu.
3943,Aku karo Fariz neliti bekas-bekas beteng sing biyeng tau ngadek neng Kotagede,Aku dan Fariz meneliti bekas-bekas benteng yang dulu pernah berdiri di Kotagede.
3944,Awak dhewe blusuk-blusuk golek bekas benteng-benteng kui,Kami masuk ke gang-gang mencari bekas benteng-benteng itu.
3945,Ono watu-watu sing koyo watu beteng dienggo warga gawe pager,Ada batu-batu seperti batu benteng yang digunakan warga untuk pagar.
3946,Akhire awak dhewe gur iso nemu titik-titik beteng sing wis direvitalisasi karo pemerintah daerah,Akhirnya kami hanya bisa menemukan titik-titik benteng yang sudah direvitalisasi oleh pemerintah daerah.
3947,Masio podo-podo nandure tapi carane iku maeng bedone pol,"Meskipun sama-sama menanam, tapi caranya itu berbeda sekali."
3948,Nag nandur jagung iku carane isine jagung iku maeng kudu gareng maring ngunu dikombanyu terus dientas,"Kalau menanam jagung, caranya adalah biji jagungnya itu harus direndam dulu di air hangat lalu diangkat."
3949,Terus nag wes dientas engko lagek ditutupi plastek itowo kaeng sing sekirane iso digawe buntel isine maeng sampek terik,"Setelah diangkat, nanti baru ditutup plastik atau kain yang sekiranya bisa menjaga biji itu tetap terkena sinar."
3950,Engko nag wes tukul lagek ditandur nang lemah,"Nanti setelah tumbuh, baru ditanam di tanah."
3951,Nah sak durunge nandur nang lemah lemahe iku maeng kudu di caju disek ben iso dilebokno isine jagunge maeng,"Nah, sebelum menanam di tanah, tanahnya harus dilubangi dulu supaya bisa dimasukkan biji jagungnya."
3952,Mari ngunu nag wes mlebu cajonan maeng lagek ditutupi gawe awu ben gampang oleh terike,"Setelah itu, kalau sudah masuk lubang, baru ditutup dengan abu supaya mudah mendapatkan sinar matahari."
3953,Jaman saiki tes gawe melbu kuliah serentak nang Indonesia iku jenenge SNBT,"Zaman sekarang, tes masuk kuliah serentak di Indonesia itu namanya SNBT."
3954,Nek jamanku pas tahun 2016 jenenge iku SBMPTN,"Kalau zamanku tahun 2016, namanya itu SBMPTN."
3955,Tujuan dilakoni ujian iku podo yaiku ben isok melbu kampus ambek jurusan kuliah sing dipilih,"Tujuan diadakannya ujian itu sama, yaitu agar bisa masuk kampus dan jurusan kuliah yang dipilih."
3956,Nek mbiyen aku iku melu SBMPTN jalur soshum,Kalau dulu aku ikut SBMPTN jalur soshum.
3957,Proses aku ngelakoni ujian e iku koyok ngene,Proses aku menjalani ujiannya seperti ini.
3958,Jam 8 aku wes tutuk nang panggon tes,Jam 8 aku sudah sampai di tempat tes.
3959,Terus jam 9 iku aku mulai nggarap ujian sesi pertama,Lalu jam 9 aku mulai mengerjakan ujian sesi pertama.
3960,Nang kono aku nggarap ujian TPA boso Inggris boso Indonesia ambek matematika dasar,"Di sana aku mengerjakan ujian TPA, bahasa Inggris, bahasa Indonesia, dan matematika dasar."
3961,Jam 12 aku istirahat gawe sholat karo mangan,Jam 12 aku istirahat untuk salat dan makan.
3962,Jam 1 aku melbu ruangan maneh gawe melu ujian sesi loro,Jam 1 aku masuk ruangan lagi untuk mengikuti ujian sesi kedua.
3963,Nang kono aku nggarap ujian sosiologi sejarah ekonomi ambek geografi,"Di sana aku mengerjakan ujian sosiologi, sejarah, ekonomi, dan geografi."
3964,Jam setengah papat aku wes mari nggarap dan metu teko ruangan,Jam setengah empat aku sudah selesai mengerjakan dan keluar dari ruangan.
3965,Aku isih SD pas kui kiro-kiro kelas 2 SD,"Aku masih SD waktu itu, kira-kira kelas 2 SD."
3966,Pas umur-umur sak mono awak dhewe durung ngerti ukum babagan ibadah akeh termasuk ukum poso,"Pada umur-umur segitu, kami belum banyak tahu hukum tentang ibadah termasuk hukum puasa."
3967,Awak dhewe ngerteni kui yen awak dhewe ngeleboke sesuatu neng lobang endi wae kui batal,"Kami tahu bahwa jika kami memasukkan sesuatu ke lubang mana saja, itu bisa membatalkan puasa."
3968,Tuladhane yen awak dhewe mangan opo ngombe,Contohnya jika kita makan atau minum
3969,Kui cetho ngeleboke panganan lan ombenan neng mulut,Itu jelas memasukkan makanan dan minuman ke mulut
3970,Terus ono sing takon yen ngupil pas poso kui batal opo ora,Lalu ada yang bertanya apakah mengupil saat puasa itu batal atau tidak
3971,Kabeh guyu krungu kuwi,Semua tertawa mendengar itu
3972,Let sedelo awak dhewe bar rampung dolanan,Sebentar setelah kita selesai bermain
3973,Ono konco sing ngonangi konco sing ngupil,Ada teman yang melihat temannya sedang mengupil
3974,Koncoku sing ngupil kui bingung mergo diomongi yen posone batal,Temanku yang mengupil itu bingung karena dibilangi kalau puasanya batal
3975,Mergo diguyoni terus dee nangis mlayu neng bu guru,"Karena terus digoda, dia menangis dan lari ke ibu guru"
3976,Greysia Polii iku atlet bulu tangkis Indonesia nang nomer ganda putri,Greysia Polii adalah atlet bulu tangkis Indonesia di nomor ganda putri
3977,Atlet sing siji iki nduwe penghargaan sing akeh banget dan ngeraih medali akeh banget,Atlet yang satu ini memiliki penghargaan yang sangat banyak dan meraih banyak medali
3978,Greysia Polii iki dadi salah siji atlet sing isok mengharumkan jenenge Indonesia nang kancah dunyo,Greysia Polii ini menjadi salah satu atlet yang mampu mengharumkan nama Indonesia di kancah dunia
3979,Makane pas Greysia ngumumno pensiun pas tanggal 12 Juni 2022 kabeh fans bulutangkis nang Indonesia patah hati puol,Maka saat Greysia mengumumkan pensiun pada 12 Juni 2022 semua penggemar bulutangkis di Indonesia sangat patah hati
3980,Hal iku mergo mereka ngeroso kelangan atlet Indonesia sing super berkualitas dan sedih sisan gak bakal isok ndelok atlet senengane dolen maneh nang turnamen bulu tangkis liyane,Hal itu karena mereka merasa kehilangan atlet Indonesia yang sangat berkualitas dan sedih sekaligus tidak akan bisa melihat atlet favoritnya bermain lagi di turnamen bulu tangkis lainnya
3981,Bal takraw iku ancene bentuke paling bedo dewe ambek bal-bal liyane,Bola takraw itu memang bentuknya paling berbeda sendiri dibanding bola-bola lainnya
3982,Bal iki barang yo aneh soale bentuke ambek ukurane ae seje-seje antara wong wedok ambek wong lanang,Bola ini memang aneh karena bentuk dan ukurannya berbeda antara wanita dan pria
3983,Terus oleh mainoe yo ora koyok bal-bal liyane tapi bal iki oleh maenoe iku koyk voli tapi gawe sikil terus ora oleh sampek cicir nag lemah koyok voli,"Terus cara memainkannya juga tidak seperti bola lainnya, tetapi bola ini dimainkan seperti voli tapi pakai kaki dan tidak boleh menyentuh tanah seperti voli"
3984,Terus oleh mainoe iku disaduk koyok bal-balan ngunuku,Terus mainkan seperti bola sepak
3985,Yo iki se koyok gabungan voli ambek bal-balan,Lalu cara memainkannya dioper seperti sepak bola begitu
3986,Pas krungu koncone dewe kui wis ono sing metheng kui reaksine biasane podo kaget,"Ketika mendengar teman sendiri sudah ada yang hamil, reaksinya biasanya terkejut"
3987,Konco sing cerak karo dheweke langusung nyelametke liwat pesan teks,Teman yang dekat dengannya langsung memberi ucapan selamat melalui pesan teks
3988,Trus pas wis selo konco kui dolan neng omahe,"Lalu setelah punya waktu luang, teman itu main ke rumahnya"
3989,Ono uga konco pas ngerti koncone ono sing meteng langsung ngitung usia kandungan karo usia pernikahane,Ada juga teman yang begitu tahu temannya hamil langsung menghitung usia kandungan dan usia pernikahannya
3990,Konco sing model koyo ngeneki sing rada mangkeli,Teman yang seperti ini cukup menyebalkan
3991,Ono konco sing melu seneng pas krungu kabar bahagia kui nanging uga sedih mergo dheweke durung duwe momongan,Ada teman yang ikut senang saat mendengar kabar bahagia itu tetapi juga sedih karena dia belum memiliki anak
3992,Ono konco sing perhatian banget,Ada teman yang sangat perhatian
3993,Dheweke langsung cerito opo-opo wae sing kudu dicepake pas lagi metheng kui,Dia langsung bercerita tentang hal-hal yang harus diperhatikan saat sedang hamil itu
3994,Konco sing koyono ono sing pancen wis ngalami ono sing mung kuwatir wae,"Teman yang seperti ini ada yang memang sudah berpengalaman, ada juga yang hanya khawatir saja"
3995,Ben aku ditakoni nduwe akun Twitter gak yo tak jawab nduwe lah,"Ketika saya ditanya punya akun Twitter atau tidak, ya saya jawab punya lah"
3996,Jaman saiki sopo seh sing gak nduwe Twitter,Zaman sekarang siapa sih yang tidak punya Twitter
3997,Pas dijaluki jeneng akun Twitter baru aku rodok bingung,"Saat diminta nama akun Twitter baru, saya agak bingung"
3998,Soale aku nduwe akeh akun Twitter,Karena aku punya banyak akun Twitter
3999,Nek dihitung onok patang akun Twitter sing tak nduweni,"Kalau dihitung, ada empat akun Twitter yang aku miliki"
4000,Pertanyaane gawe opo akun Twitter sak mono akehe,"Pertanyaannya, buat apa akun Twitter sebanyak itu?"
4001,Patang aku iku nduwe fungsine dewe dewe,Keempat akun itu punya fungsinya masing-masing
4002,Akun siji iku akun utama sing biasa tak gawe interaksi karo konco asliku,Akun pertama adalah akun utama yang biasa kugunakan untuk berinteraksi dengan teman-teman asliku
4003,Akun loro iku akun sing biasa tak gawe fangirlingan,Akun kedua adalah akun yang biasa kugunakan untuk fangirling
4004,Akun telu iku gawe awakku nek kate ngepost AU soale aku sering nulis cerita dalam bentuk fakechat ngono lah,"Akun ketiga adalah untukku jika ingin memposting Alternate Universe (AU), karena aku sering menulis cerita fakechat"
4005,Akun papat iku akun kuncian sing biasane tak gawe sambat dewe dan gak onok followers e,Akun keempat adalah akun rahasia yang biasanya kugunakan untuk curhat sendiri dan tidak punya followers
4006,Ket dino Kamis sampe Sabtu aku bakal melu acara Hizbul Wathan nang gedung Muhammadiyah sing nang Gresik,Dari hari Kamis sampai Sabtu aku akan mengikuti acara Hizbul Wathan di gedung Muhammadiyah yang ada di Gresik
4007,Berhubung gedung e iku durung dadi makane isok digawe kemping,"Karena gedungnya belum selesai, jadi bisa digunakan untuk camping"
4008,Aku ambek konco-koncoku ndirikno tenda koyok sing wes tau dipelajari,Aku dan teman-temanku mendirikan tenda seperti yang pernah dipelajari
4009,Mbarine ngono baru istirahat sambil ngenteni engkok mbari ashar ngelakoni Upacara Pembukaan,"Setelah itu, baru istirahat sambil menunggu nanti menjelang Ashar untuk mengikuti Upacara Pembukaan"
4010,Aku langsung mrono dan melbu ngono ae,Aku langsung ke sana dan masuk begitu saja
4011,Ndelok bentukan toilet e sing bener-bener gak layak dan ngguilani pol marakno aku gak sido kebelet maneh,Melihat kondisi toiletnya yang benar-benar tidak layak dan sangat menjijikkan membuatku tidak jadi ingin buang air
4012,Yaopo maneh bilik toilet e campur karo tumpukan sampah sopo sing gak gilo coba,"Apalagi bilik toiletnya bercampur dengan tumpukan sampah, siapa yang tidak jijik coba?"
4013,Saiki wis metu ponsel pinter sing layar sentuh nanging iso dilipet,Sekarang sudah ada ponsel pintar layar sentuh yang bisa dilipat
4014,Iki teknologi sing apik,Ini teknologi yang bagus
4015,Nanging kui ogo teknologi sing awak dhewe ora butuhke,Tapi itu juga teknologi yang kita tidak butuhkan
4016,Yen dipikir-pikir meneh opo tujuane HP kui iso dilipet,"Kalau dipikir lagi, apa tujuan HP itu bisa dilipat?"
4017,Menurutku ora ono tujuan sing mendesak kanggo nganggo tekonologi kui,Menurutku tidak ada tujuan mendesak untuk menggunakan teknologi itu
4018,Aku ngerosone ponsel pinter lipet kui mung digawe kanggo perusahane kui pamer wae,Aku merasa ponsel pintar lipat itu hanya dibuat untuk perusahaan tersebut pamer saja
4019,Soale wong-wong disik sempet ngebayangke piye yen ponsel pinter kui ono sing iso dilempit,Karena dulu orang-orang sempat membayangkan bagaimana jika ada ponsel pintar yang bisa dilipat
4020,Perusahaan podo gawe HP sing koyo ngono kui kanggo buktike yen dheweke iso gawe HP sing konsumen-konsumene banyangke,Perusahaan membuat HP seperti itu untuk membuktikan bahwa mereka bisa membuat HP seperti yang konsumen bayangkan
4021,Nanging secara keguanaane kui arep podo wae,Tapi secara fungsi tetap sama saja
4022,Bedane paling mung layar dadi iso luwih gedhe,Bedanya mungkin hanya layarnya bisa lebih besar
4023,Pembantuku iku sueneng banget ndelok pertandingan badminton nang TV,Pembantuku sangat senang menonton pertandingan badminton di TV
4024,Dan senengane iku mesti ngajaki aku melu nonton ben gak heboh dewe tapi heboh bareng,Dan kesukaannya itu pasti mengajakku ikut menonton agar tidak heboh sendiri tapi heboh bersama
4025,Yo suwe-suwe aku dadi ketularan seneng sisan sih,Lama-lama aku juga ikut tertular senang sih
4026,Terus aku takon nang pembantuku atlet senengane iku sopo,Lalu aku bertanya ke pembantuku siapa atlet favoritnya
4027,Pembantuku jawab Taufik Hidayat,Pembantuku menjawab Taufik Hidayat
4028,Jarene wonge iku ganteng terus mesti menangan,"Katanya orang itu ganteng, terus pasti menang"
4029,Dadi paling aman iku mesti njagakno Taufik Hidayat,"Jadi, paling aman itu pasti mendukung Taufik Hidayat"
4030,Nek atlet liyane iku jare kalahan dadi marakno lara ati nek ndukung mereka,"Kalau atlet lain katanya kalah, jadi bikin sakit hati kalau mendukung mereka"
4031,Dadakno sing seneng karo Taufik Hidayat iku guduk pembantuku tok tapi pembantune tonggoku sisan kesemsem karo atlet iku,"Ternyata yang suka Taufik Hidayat itu bukan hanya pembantuku, tapi juga pembantu tetanggaku, yang terpikat oleh atlet itu"
4032,Opo maneh pas jaman iku ancen lagi terkenal banget sosok Taufik Hidayat iki dadi gak kaget nek akeh sing demen,"Apalagi pada masa itu sosok Taufik Hidayat memang sangat terkenal, jadi tidak heran kalau banyak yang menyukainya"
4033,Kanggo wong sing percaya reinkarnasi kabeh sing ana ning dunya iki mesti ana walesane,"Bagi orang yang percaya reinkarnasi, semua yang ada di dunia ini pasti ada balasannya"
4034,Wong sing ngerasa reinkarnasi bener mesti setuju yen kabeh kuwi kudu tumindak sing apik ben awak dhewe bisa oleh karma sing apik,Orang yang percaya reinkarnasi pasti setuju bahwa semuanya harus berbuat baik agar bisa mendapatkan karma yang baik
4035,Saka agama apa wae mesti ngajarake kabeh kuwi ana walesane dhewe senajan ana sing ora percaya reinkarnasi,"Dari agama apa pun pasti mengajarkan bahwa semuanya ada balasannya, meskipun ada yang tidak percaya reinkarnasi"
4036,Wong sing tumindak ala kuwi uga bakale diwales lan nduweni karma uga bentuk reinkarnasi sing ala ben bisa dadi renungan sak umur urip,Orang yang berbuat jahat juga akan dibalas dan mendapat karma berupa reinkarnasi buruk sebagai bahan renungan seumur hidup
4037,Kamangka senajan ora percaya marang konsep iki awak dhewe kudu tetep tumindak apik lan uga tetep ngeregani wong liya ning dunya tanpa pilah lan pilih,"Meskipun tidak percaya pada konsep ini, kita tetap harus berbuat baik dan menghargai orang lain di dunia tanpa pilih kasih"
4038,Habib Jaf ar kui ustaz utowo guru sing lagi kerep muncur neng TV utowo media sosiale awak dhewe,Habib Jafar adalah ustaz atau guru yang sering muncul di TV atau media sosial kita
4039,Habib sing duwe jeneng lengkap Husen Ja far Al Hadar iki duwe karakeristik ceramah utowo syiar sing diseneng karo cah enom,Habib yang bernama lengkap Husen Jafar Al Hadar ini memiliki gaya ceramah atau dakwah yang disukai oleh anak muda
4040,Ceramah kui akeh guyone,Ceramahnya banyak humornya
4041,Habib sing lahir neng Bondowoso kui ora tau nganggo atribut sing koyo wong alim banget,Habib yang lahir di Bondowoso itu tidak pernah memakai atribut yang seperti orang alim banget
4042,Dhewe ngganggo klambis sing sante lan nganggo peci,Dia memakai pakaian yang santai dan memakai peci
4043,Dheweke uga ora nduwe jenggot sing dowo banget,Dia juga tidak punya jenggot yang sangat panjang
4044,Ceramahe kui enteng lan arang bahas perkoro sing abot-abot,Ceramahnya ringan dan jarang membahas hal-hal yang berat-berat
4045,Ora koyo keakehan ustaz liyanen Habib Ja far ngeladeni pitakonan sing iso diarani ora mutu,"Tidak seperti kebanyakan ustaz lain, Habib Jafar melayani pertanyaan yang bisa dibilang tidak berkualitas"
4046,Dheweke gelem jawab kui ben bocah-bocah enom bakal ngerungoke dheweke pas kudu bahas perkoro-perkoro sing luwih serius,Dia mau menjawab itu agar anak-anak muda mau mendengarkannya saat membahas hal-hal yang lebih serius
4047,Pas Sekolah pasti awakmu tau belajar tentang materi Astronomi,"Saat sekolah, pasti kamu pernah belajar tentang materi Astronomi"
4048,Setidake awakmu pasti tau sekali sinau tentang Tata Surya sing onok nang Alam Semesta,Setidaknya kamu pasti pernah sekali belajar tentang Tata Surya yang ada di Alam Semesta
4049,Tapi pasti onok ndek antara awakmu sing bingung opo manfaate sinau planet kan ya,"Tapi pasti ada di antara kamu yang bingung apa manfaat belajar tentang planet, kan?"
4050,Gak bakal isok dipraktekno nang kehidupan sehari-hari maneh,Tidak akan bisa dipraktikkan dalam kehidupan sehari-hari lagi
4051,Ojok ngeremehno disik sinau Astronomi iki onok akeh manfaate,"Jangan meremehkan dulu, belajar Astronomi ini ada banyak manfaatnya"
4052,Siji eroh yaopo gerakan benda langit,"Pertama, tahu bagaimana gerakan benda langit"
4053,Awak dewe dadi eroh yaopo Bumi iku obah yaopo sistem ngorbitno bintang yaopo gerhana iku kedaden ambek sing liyane maneh,"Kita jadi tahu bagaimana Bumi bergerak, bagaimana sistem mengorbitkan bintang, bagaimana gerhana terjadi, dan lainnya"
4054,Loro isok melajari komponen penyusun atmosfer liyane,"Kedua, bisa mempelajari komponen penyusun atmosfer lainnya"
4055,Mulai teko komet asteroid dan liyane,"Mulai dari komet, asteroid, dan lainnya"
4056,Terakhir isok eroh letak terus yaopo bentukan kabeh benda sing onok nang langit,"Terakhir, bisa tahu letak serta bagaimana bentuk semua benda yang ada di langit"
4057,Yaopo wernone Neptunus yaopo gedene Jupiter yaopo bentuk cincine Saturnus dan liyane,"Bagaimana warna Neptunus, seberapa besar Jupiter, bagaimana bentuk cincin Saturnus, dan lainnya"
4058,Dadi ojok ngeremehno pelajaran Astronomi rek ngono ngono tetep nduwe manfaat gawe awakmu.,"Jadi jangan meremehkan pelajaran Astronomi, ya. Meski terlihat sederhana, tetap memiliki manfaat untuk kamu."
4059,Salah siji anceman gawe menungso ambek Bumi dewe yaiku pemanasan global.,Salah satu ancaman bagi manusia dan Bumi kita adalah pemanasan global.
4060,"Pemanasan global iku siji proses sing ditandai karo mundake suhu atmosfer, laut, karo daratan.","Pemanasan global adalah sebuah proses yang ditandai dengan meningkatnya suhu atmosfer, laut, dan daratan."
4061,"Suhu roto-roto global nang permukaan Bumi iki wes melonjak dadi 0,74–0,18 derajat Celsius ndek satus tahun terakhir.","Suhu rata-rata global di permukaan Bumi telah meningkat sebesar 0,74–0,18 derajat Celsius dalam seratus tahun terakhir."
4062,"Penyebab pemanasan global iku mulai teko efek rumah kaca, efek umpan balik, karo variasi matahari.","Penyebab pemanasan global dimulai dari efek rumah kaca, efek umpan balik, dan variasi matahari."
4063,Dampak teko pemanasan global dewe iku onok akeh.,Dampak dari pemanasan global sangat banyak.
4064,"Beberapane iku teko iklim sing gak stabil, ningkate permukaan banyu nang laut, suhu global dadi tambah mundak, gangguan ekologis, sampe dampak sosial karo politik.","Beberapa di antaranya adalah iklim yang tidak stabil, naiknya permukaan air laut, suhu global yang terus meningkat, gangguan ekologis, hingga dampak sosial dan politik."
4065,Pemanasan global iku pada akhire bakal ngetok umure Bumi dadi luwe endek mergo kondisine sing tambah rusak.,Pemanasan global pada akhirnya akan memperpendek umur Bumi karena kondisinya yang semakin rusak.
4066,Gawe awakmu sing wes biasa tergabung nang siji organisasi pasti wes gak asing ambek istilah musyawarah besar.,Bagi kamu yang sudah terbiasa tergabung dalam suatu organisasi pasti tidak asing dengan istilah musyawarah besar.
4067,Biasane pas nang musyawarah besar iku 90% pasti bahas revisi regulasi utowo undang-undang sing berlaku nang organisasi iku.,"Biasanya, saat musyawarah besar 90% pasti membahas revisi regulasi atau undang-undang yang berlaku di organisasi tersebut."
4068,MinutePhysic yaiku salah siji akun sing ana ning Youtube sing nampilake percobaan sing cocok kanggo para siswa ning sekolah.,MinutePhysic adalah salah satu akun di YouTube yang menampilkan percobaan yang cocok untuk siswa di sekolah.
4069,Minat sing ana ning MinutePhysic yaiku fisika amarga Reich nganggep yen fisika kuwi ora cukup dijelasake nganggo teori.,Fokus yang ada di MinutePhysic adalah fisika karena Reich menganggap bahwa fisika tidak cukup dijelaskan dengan teori saja.
4070,Kadang awakmu pasti tau ndelok uwong sing wong tuwone wes pisah gak onok abang gak onok ijo moro ndeloki keluarga sing sek utuh pas lewat nang cedeke.,"Kadang kamu pasti pernah melihat seseorang yang orang tuanya sudah bercerai, tiba-tiba melihat keluarga yang masih utuh saat lewat di dekatnya."
4071,Biasane sing koyok ngono iku mergo dee kangen ambek suasana omahe sing mbiyen sek utuh durung pecah koyok saiki.,Biasanya hal seperti itu terjadi karena dia rindu dengan suasana rumahnya dulu yang masih utuh dan belum berantakan seperti sekarang.
4072,Sebagai cah langang awak dhewe sok-sok isin karo wulu sikile awak dhewe sing kandel.,"Sebagai anak laki-laki, kita kadang merasa malu dengan bulu kaki kita yang lebat."
4073,Supoyo awak dhewe iso nutipi wulu sikil sing kandel kui ono beberapa coro sing iso awak dhewe lakoke.,"Agar kita bisa mengatasi bulu kaki yang lebat, ada beberapa cara yang bisa kita lakukan."
