,label,text
2937,aku lagi senang lihat gadis cantik di handphone mau lihat,aku senang ndeleng cah ayu ing ponsel ingin ndeleng
2938,wawan melihatnya dengan penuh antusias sangat penasaran maklum mantan play boy,wawan weruh sama semangat banget penasaran banget maklum mantan playboy
2939,juno bisa tidak di copikan ke handphone ku,juno kamu bisa nyalin menyang hpku
2940,ya bisa saja nanti biar agus yang akan mengkopikan,ya mesthi mengko ayo agus kerja salinan
2941,juno minggu depan aku ke sini lagi sambil nggandeng gadis,juno minggu mengharap aku sini kamu nyekel tangane orang wedok
2942,bersih aku lihat layar handphone ternyata dari wawan,bersih dakdeleng layar handphone ikut saka wawan
2943,juno aku masih dengan gadis baju coklat sekarang lagi santai di wisma blue vally bandungan,juno aku masih sama cah sing nganggo klambi coklat sekarang aku santai ing wisma blue vally bandungan
2944,he-he he juno sekali kali ajak gadis yang ada di handphone kamu bawa ke bandungan nanti pasti mereka ketagihan,he-he he juno sok-sok mengundang cewek-cewek nganggo hpmu gawa menyang bandungan mesthi ketagihan
2945,aku lihat jam sudah menunjukkan,aku ndeleng jam lan sudah jam
2946,edan benaran wawan sudah punya istri cantik masih kepengin dengan gadis lain mengajak-mengajak yang tidak benar lagi,gila henry yen sudah duwe bojo ayu anda masih ingin sama cah wadon liyane takon bab sing tidak benar kamu
2947,ya wawan itu mantan play boy yang sepertinya belum sembuh dari penyakitnya,ya wawan itu mantan playboy sing kayane belum mari saka penyakite
2948,suatu malam aku undang gadis yang bernama wulan,ing sawijining malam aku mengajak bocah wadon sing namanya wulan
2949,aku agak terkesima melihat pakaian yang dikenakan cukup berani langsung menuju tempat duduk di pojok belakang,aku agak gumun weruh klambi sing dianggo agak kandel langsung menyang kursi pojok mburi
2950,hai wulan,hai wulan
2951,hai mas juno,halo mas juno
2952,kami berkenalan dan seperti biasa mengobrol tanpa arah,we ngenalaken dhewe lan kayak biasane chatting tanpa tujuan
2953,ayo juno kapan lagi gadis secantik wulan sudah ada di depanmu engkau ajak kencan pasti mau hati kiriku mulai memprovokasi,ayo juno kapan kamu cah ayu kayak wulan sudah saya ing ngarepmu kamu ajak-ajak tenanan batinku sing kiwa wiwit provokasi
2954,melihat pakaian dan memakai atas nya memang benar sepertinya memberikan sinyal sesuatu kepada lelaki,delengen klambi lan dandanane pancen benar kaya-kaya menehi tandha marang orang laki laki
2955,juno sekali saja seperti kata wawan uangmu lebih dari cukup kalau hanya untuk cinta kilat hati kiriku kembali membujuk,juno sepisan saja kandhane wawan dhuwitmu sudah cukup yen mung untuk kelip-kelip tresna batinku kiwa mbujuk kamu
2956,juno lihat wajahnya dia mengharapkanmu,juno deloken praupane lagi mengharap mau kamu
2957,mungkin dia perlu uang karena ibunya sakit atau anaknya sakit,mungkin dheweke butuh dhuwit amarga ibune lara utawa anake lara
2958,bertubi tubi hati kiriku membujukku,atiku kiwa meksa mbujuk aku
2959,akhirnya pertahananku runtuh,akhire pertahananku ambruk
2960,wulan bagaimana kalau kita jalan-jalan ke luar,wulan bagaimana yen mlaku-mlaku ning njaba
2961,wulan mengangguk,wulan manthuk
2962,wulan bagaimana kalau kita ke bandungan,wulan bagaimana yen mau menyang bandungan
2963,kembali wulan mengangguk,wulan manthuk kamu
2964,terjadilah cinta kilat mempertemukan dua raga tanpa jiwa,katresnan kilat dumadi nyawiji loro raga tanpa nyawa
2965,pengalaman pertama mendebarkan sekaligus menyenangkan,pengalaman pisanan nyenengake lan nyenengake ing wektu sing padha
2966,sejak tahun ketiga mawar dan agus membantuku,wiwit tahun katelu mawar lan agus sudah nulungi aku
2967,mawar lulusan sekolah menengah kejuruan tata boga dan agus lulusan sekolah menengah kejuruan bidang informasi dan teknologi,mawar lulusan sekolah menengah kejuruan tata boga lan agus lulusan sekolah menengah kejuruan informatika
2968,mungkin cari pekerjaan di instansi pemerintah sulit formasi yang disediakan terlalu sedikit dan saingannya sangat banyak,bisa juga angel golek kerja ing lembaga pemerintah formasi sithik banget lan banyak pesaing
2969,keduanya masih relatif muda kira-kira lima tahun di bawah usiaku,kekarone masih enom luwih enom limang tahun tinimbang aku
2970,atas saran mereka berdua kafe harus dikelola mengikuti konsep swalayan jaman now,adhedhasar pamrayogane warung internet harus dikelola miturut konsep swalayan sekarang
2971,puluhan stoples yang berisi bubuk kopi dari berbagai daerah berbaris rapi di meja di bagian ujung meja disediakan dua tempat pemanas air elektrik,welasan guci isi ampas kopi saka macem-macem daerah dijejer rapi ing meja ing mburi meja saya pemanas banyu listrik loro
2972,pada meja sebelah disediakan tumpukan gelas dan piring sekali pakai dan deretan kudapan aneka singkong,ing meja sabanjure saya tumpukan cangkir lan piring lan larik macem-macem jajanan singkong
2973,setiap akhir bulan bertiga selalu melakukan evaluasi dengan melihat grafik pengujung setiap harinya,saben pungkasan sasi orang telu ikut tansah nindakake evaluasi kanthi ndeleng grafik pungkasan saben dina
2974,hal yang menggembirakan grafik pengunjung selalu naik hanya pada hari-hari hujan grafik agak landai,sing apik grafik pengunjung tansah munggah mung nalika udan grafik agak miring
2975,suatu hal sangat wajar orang malas keluar rumah,ikut lumrah banget orang malas keluar saka omah
2976,ideide baru harus selalu dikembangkan,ide anyar harus tansah dikembangake
2977,saat kuliah aku selalu ingat topik persaingan usaha dalam mata kuliah ekonomi,nalika aku kuliah aku tansah kelingan topik kompetisi bisnis ing kursus ekonomi
2978,menurut philip kotler embahnya ekonomi dalam berbagai buku eknomi yang dikarangnya selalu ditekankan bahwa tanpa ada pengembangan produk baca kafe maka kafe tersebut akan mengalami kematian kalah sama pesaingnya,miturut philip kotler profesor ekonomi ing macem-macem buku ekonomi sing ditulis dheweke tansah nandheske yen tanpa pangembangan produk waca kafe-kafe bakal mati kalah sama pesaing
2979,mas juno sebaiknya kafenya dua shift-shift pagi dari jam sampai dan shift malam sampai jam -,mas juno luwih becik yen warunge saya rong shift yaiku shift esuk jam ganti lan shift malam jam ganti -
2980,pagi saya yang bertanggung jawab dan malam agus yang mengelolanya,esukesuk aku sing mengatur lan sorene agus sing mengatur
2981,ide yang bagus mawar,ide apik rose
2982,mas juno perlu ada door prize setiap malamnya,mas juno saben bengi harus saya doorprize
2983,nanti diundi untuk pemenang,bakal saya undian untuk pemenang
2984,hadiahnya cukup sederhana pulsa seharga rupiah ribu,hadiahe cukup prasaja pulsa rupiah ewu
2985,dijamin setiap malam terutama menjelang pengundian pengunjungnya akan semakin bertambah,dijamin saben malam utamane sadurunge undian pengunjung bakal tambah banyak
2986,ide keren gus,ide sing apik gus
2987,mawar dan agus bagaimana kalau ada organ tunggal pada malam hari,mawar sama agus yen bengi saya organ tunggal
2988,nanti aku atau agus yang memainkannya bernyanyi atau mengiringi pengunjung yang bersedia nyanyi,mengko aku utawa agus dolanan nyanyi utawa ngancani pengunjung sing mau nyanyi
2989,atau lebih bagus lagi kalau warga setempat ada yang bisa main organ dan nyanyi nanti kita beri uang ala kadarnya,utawa luwih apik yen saya warga lokal sing bisa memuter organ lan nembang banjur kita bakal menehi dhuwit
2990,sedangkan untuk siang hari cukup lagu-lagu ndangdut atau lagu populer yang diperdengarkan,dene ing wayah awan mung tembang-tembang dangdut utawa lagu-lagu populer
2991,bagus mas jawab mawar dan agus secara serentak,bagus pak wangsulane mawar lan agus bebarengan
2992,cukup banyak ide dari agus namun ide yang spektakuler melayani pembeli secara online dengan gratis ongkos kirimnya,cukup banyak ide saka agus nanging ide sing spektakuler nglayani pembeli online kanthi gratis ongkos kirim
2993,dengan keahliannya dalam bidang itu agus mengembangkan aplikasi jualan singkong dan kopi,kanthi keahliane ing bidang it agus ngembangake aplikasi dodolan singkong lan kopi
2994,ada tiga paket yang ditawarkan paket rupiah berisi singkong goreng dan singkong rebus saja,saya telung paket sing ditawakake paket rupiah isinya singkong goreng lan singkong rebus saja
2995,paket rupiah berisi singkong goreng singkong rebus tape dan tape goreng,paket rupiah isinya singkong goreng singkong rebus tape lan tape goreng
2996,dan paket rupiah berisi singkong goreng singkong rebus tape-tape goreng tiwul dan keripik singkong,lan paket rupiah isinya singkong goreng singkong rebus tape-tape goreng tiwul lan keripik singkong
2997,ide yang tidak kalah cemerlang disampaikan oleh mawar,pamanggih ingkang sami sarwa dipunandharaken dening mawar
2998,mas juno sebaiknya kegiatan masak singkong di sini sekadarnya saja,mas juno luwih becik yen sini masak singkong saja
2999,mas juno tinggal kerja sama dengan warga desa setempat mereka diminta untuk merebus atau menggoreng singkong,mas juno mung nyambut kerja sama warga dikon nggodhog utawa nggoreng singkong
3000,kita siapkan minyak gorengnya saja penggorengannya menggunakan kayu bakar,kita mung nyiyapake lenga masak nggoreng nganggo kayu bakar
3001,saya jamin rasanya pasti mak nyuuus,aku jamin bakal enak
3002,akhirnya setelah lima tahun jungkir balik kini uang datang sendiri,akhire sawise limang tahun munggah lan mudhun sekarang dhuwit teka dhewe
3003,penggemar kopi dan singkong di semarang ternyata bukan cukup banyak tetapi sangat banyak,penggemar kopi lan singkong ing semarang ketoke tidak banyak nanging banyak banget
3004,penjualan secara online di luar dugaan sangat menggembirakan hasilnya relatif sama dengan penjualan offline,dodolan online tidak dikarepke nyemangati banget asile relatif padha sama dodolan offline
3005,pagi sampai siang hari pengunjung didominasi tukang becak tukang ojeg sopir truk pegawai yang belum sempat sarapan sementara pada malam hari pengunjungnya didominasi mudamudi dan tukang ojek,wiwit esuk ganti awan pengunjung didominasi dening sopir becak sopir ojek sopir truk karyawan sing belum sarapan dene ing wayah bengi pengunjung didominasi dening para mudha lan sopir ojek
3006,kamu tidak tahu diri kamu tidak tahu malu kamu pengkhianat,anda tidak mengerti dhewe tidak mengerti isin anda penghianat
3007,kamu ingkar janji dan komitmen pernikahan kita kamu pengkhianat teriak pak budi dengan marah sambil menunjuk-menunjuk wajah istrinya,kamu mblenjani janji lan prasetya kita kamu itu penghianat bengoke pak budi nesu sama nudingi raine bojone
3008,maaf-maaf saya meminta maaf mas saya khilaf kata bu heni sambil menangis,nuwun sewu nyuwun pangapunten mas aku salah kandhane bu heni sama menangis
3009,apa salahku sehingga kamu melakukan tindakan tercela seperti ini,apa salahku ganti kamu nindakake tumindak sing tidak sopan kayak ini ini
3010,apa salah dan dosaku padamu tanya pak budi dengan nada sedih,apa salahku lan dosaku marang kamu pitakone pak budi kanthi nada sedhih
3011,dalam pertengkaran hebat pak budy yang merasa dikhianati oleh istrinya sendiri hampir ingin menggunakan kekerasan,bantahan gedhe pak budy sing rumangsa dikhianati bojone dhewe meh mau nganggo kekerasan
3012,dengan mengambil kayu untuk memukul istrinya yang berselingkuh dengan pria lain,kanthi njupuk tongkat untuk nggebugi bojone sing selingkuh sama orang liya
3013,untungnya pak soni sebagai tokoh masyarakat pandai melerai amarah,untunge pak soni minangka tokoh masyarakat pintar ngilangake rasa nesu
3014,akhirnya puncak dari pertengkaran suami istri yang sudah lebih dari tiga tahun berumah tangga harus bercerai,pungkasan puncak argumentasi pasangan bojo sing sudah nikah luwih saka telung tahun harus pegatan
3015,pak budi terluka dan sangat kecewa dan malu dengan perbuatan istrinya,pak budi lara lan kuciwa banget lan isin sama tumindake bojone
3016,sehingga pak budi secara emosional memilih untuk menceraikan istrinya,mula pak budi kanthi emosi memilih megat bojone
3017,kisah cinta dan kasih sayang yang mereka miliki sejak pertama kali bertemu,cerita tresna lan tresno sing sudah digayuh wiwit sepisanan ketemu
3018,sejak tunangan hingga pernikahan kini hanya tinggal kenangan pahit,wiwit tunangan ganti omah-omah sekarang mung dadi kenangan pahit
3019,menjadi bayangan di benak yang menyakitkan dan menciptakan luka batin,dadi wewayangan sing nglarani hati lan nuwuhake tatu batin
3020,yang membutuhkan waktu cukup lama untuk sembuh,sing butuh wektu suwe untuk mari
3021,yang lebih menyedihkan lagi adalah hasni anak pertama mereka,luwih sedhih hasni anak pertamane
3022,pengalaman pahit itu harus ia rasakan sejak ia masih balita,dheweke harus ngrasakake pengalaman pahit kasebut wiwit masih cilik
3023,sayang sekali padahal mereka serasi menurutku,mesakake sanajan padha cocog sama pendapatku
3024,sama-sama berpendidikan sama-sama rupawan,podopodo pendidikane podo-podo ganteng
3025,tapi tidak ada yang tahu nasib manusia kata pak darus saat menongkrong di warung kopi,nanging tidak saya sing mengerti nasibe manungsa kandhane pak darus nalika nongkrong ing warung kopi
3026,apa yang menyebabkan mereka bertengkar hingga akhirnya bercerai ya,apa sing njalari wong-wong mau padha gelut ganti pungkasane pegatan ta
3027,ziraf bertanya dengan rasa ingin tahu,pitakone jerapah penasaran
3028,kata orang gara-gara istrinya selingkuh jawab bu tina pemilik warung kopi,jarene orang bojone lagi pacaran wangsulane bu tina sing duwe warung
3029,selingkuh bagaimana ceritanya tanya ziraf kembali,ngapusi cerita apa takon jerapah bali
3030,akibat sering curahan hati di media sosial,akibate asring curhat ing media sosial
3031,saya juga kurang tahu lebih detailnya bagaimana,aku juga tidak mengerti rincian
3032,yang saya tahu sih intinya istrinya pak budi itu selingkuh dengan kenalan di media sosial jawab bu tina,sing dakngerteni bojone pak budi lagi selingkuh sama kenalan ing media sosial wangsulane bu tina
3033,akhirakhir ini banyak kasus perceraian karena perselingkuhan di media sosial,akhirakhir ini banyak kasus pegatan amarga perselingkuhan ing media sosial
3034,yang awalnya hanya sebatas curahan hati,sing wiwitane mung untuk curhat
3035,banyak juga laki-laki yang terjerat dalam perselingkuhan di media sosial ini kata nono yang dari tadi asyik mendengarkan,ing media sosial ini juga banyak orang laki laki sing kejiret selingkuh ujare nono sing sudah ngrungokne
3036,kemajuan teknologi selain memberikan kemudahan juga cukup mengkhawatirkan ucapku yang dari tadi ingin berkomentar,kemajuan teknologi saliyane nyediakake penak juga cukup mrihatinake kandhaku sama mau menehi komentar sadurunge
3037,segala sesuatu di sekitar kita dapat mempengaruhi perilaku,semua ing saubenge bisa mengaruhi perilaku
3038,efek media sosial secara perlahan mengubah kehidupan anak-anak remaja dewasa dan orang tua,efek saka media sosial alon-alon mengganti urip bocah remaja orang diwasa lan orang tuwa
3039,tak sedikit dari mereka yang menjadi sasaran empuk berbagai macam konten yang bertebaran di media sosial,tidak sithik sing dadi target gampang saka macem-macem jinis konten sing menyebar ing media sosial
3040,mulai dari konten pernikahan konten makanan konten pakaian dan konten gaya hidup,mulai saka konten manten konten panganan konten busana lan konten gaya urip
3041,kata pak burhan yang merupakan seorang guru sekolah,kandhane pak burhan sing dadi guru sekolah
3042,saya sangat setuju pak,kula setuju pak
3043,saya sendiri melihat ada keinginan yang terpendam bergejolak dari orang tua yang kini pecah tanpa pengendalian diri,aku dhewe weruh yen saya kepinginan laten sing njedhul saka orang tuwa sing sekarang mbledhos tanpa kontrol diri
3044,secara psikologis anak dimobilisasi untuk menjadi dewasa tidak pada waktu yang tepat,secara psikologis bocah-bocah dimobilisasi dadi orang diwasa sing tidak tepat wektu
3045,tak terkecuali efektivitas media sosial mempengaruhi kesehatan mental kataku,efektivitas media sosial tidak kajaba mengaruhi kesehatan mental kandhaku
3046,makanya kamu jangan curahan hati setelah kamu menikah nanti kata ziraf kepadaku,mulane kamu tidak omong omongan sawise nikah mengko kandhane ziraf marang aku
3047,curahan hati hal yang wajar,berbicara sing benar
3048,kalaupun ada masalah jangan disembunyikan harus dikatakan,malah yen saya masalah saja didhelikake harus diomongake
3049,yang terpenting kita harus bisa memilih dengan bijak kapan di mana dan kepada siapa kita harus mencurahkan isi hati atau permasalahan hidup sanggahku,sing paling penting yaiku kita harus bisa memilih kanthi wicaksana kapan ing ngendi lan marang sapa sing harus kita curahake hati utawa masalah urip sanggahku
3050,suara azan maghrib dari beberapa masjid membuat percakapan kami terhenti,azan maghrib saka pirang-pirang mesjid njalari pacelathon kita
3051,dan kembali ke rumah masing-masing untuk salat,banjur bali menyang omahe dhewe-dhewe untuk salat
3052,pesan moral bicarakan semua masalah kepada orang baik di tempat yang baik dan pada waktu yang tepat,pesan moral rembugan semua masalah sama orang sing benar ing panggonan sing benar lan ing wektu sing tepat
3053,tidak menunggu lama angkutan umum yang kutunggu sudah sampai bus tua yang terlihat berkarat cat yang sudah memudar dan suaranya yang cukup keras,tidak let suwe angkutan kota sing dienteni sudah teka bis lawas sing katon karat cate sudah luntur swarane agak banter
3054,namun itulah yang aku sukai dari kopaja apalagi duduk dekat jendela yang terbuka,nanging itu sing tak senengi kopaja utamane lungguh cedhak jendela sing mbukak
3055,hembusan angin yang kurasakan dan mataku yang akan memandang keluar melihat pemandangan selama menuju lokasi bakti sosial,angin sing dakrasakake lan mripatku sing bakal weruh keluar untuk ndeleng sesawangan nalika mau menyang lokasi layanan sosial
3056,hari ini lokasi bakti sosial di salah satu kampung kecil yang ada di cilebut,dina ini lokasi bakti sosial saya ing salah sawijining desa cilik ing cilebut
3057,sesampainya di markas kami aku bertemu dengan temanku nurhaliza dan rekan-rekan lainnya,nalika tekan basecamp kami aku ketemu kancaku nurhaliza lan kanca-kanca liyane
3058,acara bakti sosial ini rutin kami lakukan sebulan sekali selama pandemi covid19,program bakti sosial ini rutin dilaksanakake saben wulan sepisan sajrone pandemi covid19
3059,bakti sosial kali ini dibantu oleh kami kesatuan aksi mahasiswa muslim indonesia kebetulan salah satu temanku khoirunisa anggota dari kami,kali ini dinas sosial dibantu dening kami kesatuan aksi mahasiswa muslim indonesia kebetulan salah sijine kancaku khoirunisa dadi anggota kami
3060,sehingga memudahkan kami melakukan kegiatan ini,dadi nggampangake kegiatan ini
3061,selesai briefing dan berdoa bersama kami langsung pergi menuju lokasi bakti sosial yang kebetulan tidak jauh dari markas kami,sakwise briefing lan donga bareng langsung menyang lokasi bakti sosial sing kebeneran tidak adoh saka basecamp kami
3062,banyak sekali anak-anak yang sedang bermain dan menyambut kami dengan gembira,banyak bocah-bocah sing padha dolanan lan nyalami kanthi senang
3063,kakak-kakak panggil mereka dengan suara lantang sambil berlari menghampiri kami,sedulur-sedulur nyeluk wong-wong mau kanthi swara banter nalika lari marani kita
3064,senang rasanya melihat senyum dan tawa mereka,senang banget ndeleng eseman lan ngguyu
3065,kami mendatangi rumah bu yani selaku sesepuh di sana untuk membantu kami menyalurkan bakti sosial untuk warga setempat,tekan omahe bu yani minangka sesepuh ing kana untuk ngewangi mbagekake bakti sosial marang warga sekitar
3066,saat perjalanan ke rumah bu yani hatiku mencelos melihat pemukiman warga sini,sajrone budhal menyang omahe bu yani atiku krasa-krasa deg degan ndeleng warga sini
3067,lokasi seberang stasiun cilebut dengan rumah-rumah yang cukup padat di pinggir sungai,lokasi ing seberang stasiun cilebut omah-omah sing cukup padhet ing pinggire
3068,atap yang sudah pada usang bilik-bilik yang terlihat rapuh membuatku yang jauh dari kata syukur ini berpikir,pinggir kali atap-atap sing sudah entek booth sing katon rapuh nggawe aku sing adoh saka tembung syukur ini pikir
3069,betapa baiknya allah terhadap diriku aku yang suka mengeluh tentang banyak hal nyatanya aku lebih beruntung dari yang lain,kepiye gusti allah apik marang aku-aku sing senang sambat babagan banyak perkara nyatanya aku luwih beruntung tinimbang liyane
3070,assalamualaikum bu ucap nisa pada bu yani,assalamualaikum bu omonge nisa marang bu yani
3071,waalaikumsalam neng jawab bu yani,waalaikumsalam neng wangsulan bu yani
3072,beras yang akan dibagikan sudah kami letakkan di musala bu,sega sing bakal diedum edum ing musala sudah diselehake mbak
3073,mau mulai pembagian kapan ya bu tanya nisa,kapan mau mbagekake bu takon nisa
3074,alhamdulillah iya neng nanti setelah kalian istirahat saja,alhamdulillah iya bu mengko neng sakwise ngaso semua
3075,sekalian ibu jelaskan nanti siapa saja yang akan kita beri,mengko tak jelasno sapa sing bakal tak wenehi
3076,baik bu terima kasih ya bu,inggih bu matur nuwun bu
3077,iya sama-sama mari ke rumah ibu,ya sudah ayo menyang omahe ibu
3078,neng dua ini siapa namanya tanya bu yani kepada nisa tentang aku dan liz,orang loro ini namanya siapa takon bu yani marang nisa babagan aku lan liz
3079,saya nurhaliza bu sambil tersenyum,kula nurhaliza bu sama mesem
3080,saya jihan bu ucapku sambil tersenyum,kula jihan bu kandhaku sama mesem
3081,oh iya mari masuk dulu neng ucap bu yani kepada kami,oh iya ayo mlebu dhisik neng berbicara bu yani marang kita
3082,untuk yang laki-laki mereka duduk di musala menjaga beras dan juga bercengkrama dengan bapak-bapak sekitar,tumrape para priya padha lungguh ing musala njaga pari lan juga omong omongan sama priyayi-priyayi lokal
3083,kami para perempuan duduk untuk istirahat di rumah bu yani,aku orang wadon lungguh ngaso ing omahe bu yani
3084,warga di sini sangat ramah sekali,wongwong ing sini padha grapyak banget
3085,ada tetangga bu yani yaitu bu alya yang menyuguhkan kami bubur kacang hijau yang baru saja dibuatnya,saya tanggane bu yani bu alya sing nyuguhake bubur kacang hijau sing lagi saja digawe
3086,bubur kacang terasa sangat pas di lidahku apalagi kami makan sambil berbincang dengan bu yani dan bu alya,bubur kacang ikut enak banget ing ilatku apamaneh nalika mangan bareng sama bu yani lan bu alya
3087,kata bu yani biasanya khoirunisa dan teman-teman dari kami seminggu sekali datang ke kampung ini untuk mengajar anak-anak di sini,bu yani kandha biasane khoirunisa lan kanca-kanca saka kami teka ing desa ini seminggu sepisan untuk mulang bocah-bocah ing sini
3088,anggota kami adalah mahasiswa semua dan temanku nisa dia mahasiswa dari universitas ibnu khaldun,anggota kami semua mahasiswa lan kancaku nisa mahasiswa universitas ibnu khaldun
3089,kampung ini dekat dengan kampus uika sehingga mahasiswa anggota kami memiliki agenda membantu masyarakat,desa ini cedhak sama kampus uika dadi mahasiswa anggota kami sudah anggeda membantu masyarakat
3090,salah satu program mereka adalah mengajar anak-anak di kampung ini,salah siji programne yaiku mulang bocah-bocah ing desa ini
3091,kebanyakan anak-anak di kampung ini sekolah namun ada beberapa dari mereka yang tidak sekolah,umume bocah-bocah ing desa ini sekolah nanging saya sing tidak sekolah
3092,sehingga program ini sangat membantu anak-anak yang sekolah maupun tidak untuk menambah pengetahuan serta pelajaran sekolah pada umumnya,mula program ini pancen membantu bocah-bocah sing sekolah utawa tidak untuk menambah kawruh lan pelajaran sekolah umume
3093,bu yani juga sempat bercerita bahwa ada anak tetangganya yang sedang sakit karena tertabrak motor saat sedang berjualan,bu yani juga ngandhani yen saya anak tanggane sing lara amarga ditabrak motor nalika dodolan
3094,lukanya tidak parah hanya luka kecil saja,tatune tidak abot mung tatu cilik
3095,kata bu yani sebenarnya anak itu sudah dilarang oleh orang tuanya namun karena ingin membantu orang tuanya ia bersikeras untuk berjualan,bu yani kandha yen sejatine bocah ikut sudah dilarang dening orang tuwane nanging amarga kepengin nulungi orang tuwane dheweke mengeyel dodolan
3096,aku sangat bangga dengan kami mereka menjadi anak muda yang berkualitas dan memberikan manfaat untuk semua orang,aku bangga banget sama kami orang enom sing mumpuni lan menehi manfaat untuk semua orang
3097,anakanak di kampung ini benar-benar membuatku sangat malu,bocahbocah ing desa ini pancen nggawe aku isin banget
3098,mereka memiliki semangat yang tinggi untuk belajar serta kegigihan untuk membantu orang tuanya sedangkan aku bekerja saja belum,semangat banget untuk sinau lan ulet untuk membantu orang tuwa dene aku sudah malah tidak nyambut kerja
3099,lagilagi diri ini benar-benar ditampar oleh keadaan mereka,kamu awake dhewe ini pancen ditapuk sama kahanane
3100,allah memberiku pelajaran hidup secara langsung dengan adanya aku di kampung ini,gusti allah maringi aku murid-murid supaya bisa urip langsung sama aku ing desa ini
3101,ya allah ampunilah aku yang suka mengeluh ini,ya allah ampuni aku sing senang sambat
3102,setelah kami istirahat sambil berbincang di rumah bu yani kami pun segera melakukan pembagian bakti sosial,sakwise ngaso sinambi omong omongan ing omahe bu yani langsung mbagekake bakti sosial
3103,hatiku tidak henti hentinya mengucapkan syukur selama pembagian bakti sosial,atiku tidak kendhat ngaturake panuwun nalika mbagekake bakti sosial
3104,jalanan kampung yang kecil rumah-rumah yang terbuat dari bambu yang terlihat sudah usang,lurunglurung desa cilik omah sing digawe saka pring sing katon lungse
3105,ruangan yang berisi barang-barang yang sudah lama dan usang dengan ruangan yang tidak terlalu besar,kamarkamar sing isinya barang-barang lawas lan lusuh kanthi kamar sing tidak gedhe banget
3106,sedikit sekali di antara mereka yang memiliki kendaraan bermotor dan itu pun motor tua yang mereka miliki,lan sithik banget ing antarane sing duwe motor malah motor-motor lawas sing diduweni
3107,posisi rumah mereka yang berada di pinggir sungai membuatku tidak bisa membayangkan bagaimana bila hujan deras angin kencang atau bahkan air sungai yang mungkin suatu saat akan meluap dan membahayakan mereka,posisi omahe sing saya ing pinggir kali ndadekake aku tidak bisa mbayangake yen saya udan deres angin banter utawa malah banyu kali sing bisa kebanjiran lan mbebayani
3108,semoga tuhan selalu melindungi mereka,mugamuga gusti allah tansah ngayomi
3109,selesai acara pembagian bakti sosial kami salat dzuhur terlebih dahulu,sasampunipun penyaluran bakti sosial kawulo salat dhuhur rumiyin
3110,yang laki-laki di musala sedangkan kami para perempuan salat di rumah bu yani,ingkang kakung wonten ing ruwang sembahyang dene kula tiyang estri wonten ing griyanipun bu yani
3111,usai salat kami pun pamit kepada bu yani dan warga yang membantu kami,sakwise salat aku pamit marang bu yani lan warga sing nulungi
3112,tentunya kepada anak-anak yang hebat di kampung ini kami berpamitan juga,mesthi pamit sama bocah-bocah gedhe ing desa ini
3113,kata mereka kakak jangan lupa main lagi ya,kandhane kakak saja lali dolanan kamu ya
3114,rasanya bahagia sekali mereka mengharapkan kami untuk bermain bersama mereka,rasanya senang banget yen dheweke ngarepake kita main sama dheweke
3115,apa dampak paling signifikan dari munculnya kabut ini tanya jurnalis dari sebuah kantor berita nasional,apa pengaruh sing paling penting saka muncule kabut ini takon wartawan saka kantor berita nasional
3116,sampai detik ini warga desa belum merasakan dampak berarti jawab parjan tokoh masyarakat,ganti sekarang warga desa belum ngrasakake pengaruh sing signifikan wangsulane parjan tokoh masyarakat
3117,koreksi pakde potong bocah umbelen yang sedari tadi melihat adegan itu,benar pak nyelani bocah umbelen sing sudah weruh adegan itu mau
3118,kemarin pak kades sesak napas,wingi lurah sesak ambegan
3119,saya dengar siapa tanya parjan sengit,kandhane sapa pitakone parjan galak
3120,bapakku jawab bocah umbelen bu kades datang ke rumah meminta tolong ke bapak,bapakku jawabe bocah umbelen bapak lurah sowan ing ngomah nyuwun tulung dhateng bapak
3121,jurnalis itu kebingungan kenapa ke rumah bapakmu dik,wartawan itu bingung kok mau menyang omahe bapakmu dhik
3122,karena bapakku dukun pengobatan,amarga bapakku dadi dukun
3123,benarkah bocah umbelen mengangguk,benar ta bocah umbelen manthuk
3124,jadi sudah ada korban ya tanya sang jurnalis sekali lagi pada kerumunan dihadapannya,dadi sudah saya korbane ta pitakone wartawan kamu marang orang banyak ing ngarepe
3125,hanya satu pak kades saja koreksi parjan,mung siji pak lurah koreksi parjan
3126,keliru pak carik juga jadi korban ungkap suara di antara kerumunan,salah pak carik juga dadi korban kandhane swara saka orang banyak
3127,jumadi apalagi lebih parah ia tidak bisa melihat selama kabut gentayangan di desa kita,apa kamu dina jum at malah luwih parah dheweke tidak bisa ndeleng suwene pedhut nggandhol ing desa kita
3128,keriuhan bergemuruh pating penthalit,penthalit pating gumuruh-gumuruh
3129,jadi korban sudah banyak orangorang menjawab sudaaah,dadi sudah banyak korbane wongwong mangsuli sudaaah
3130,kehamilan murni sangat diharapkan munawir,kandhutan murni pancen dikarepake dening munawir
3131,sembilan bulan kemudian sang jabang bayi itu meluncur dari gue garba,sangang sasi mengko bayi meluncur saka gua garba
3132,betapa bahagianya mereka,betapa bahagianya mereka
3133,bayi mungil itu merupakan bayi kesembilan yang lahir di desa ketingal,bayi cilik ini minangka bayi nomer sanga sing lahir ing desa ketingal
3134,desa di lereng perbukitan dengan sebuah danau cantik merupakan tempat bagus bagi pertumbuhan bayi-bayi itu,desa ing lereng bukit kanthi tlaga sing apik banget dadi papan sing apik untuk tuwuh bayi
