Indonesia,Javanese
lebih lagi  tidak tersedia fasilitas pendidikan nonformal,langkung malih mboten sampun dicawis fasilitas pamucalan nonformal 
terlebih lagi  obatobatan tanpa resep dokter pun tersedia di kioskios kecil di seluruh desa,tirahtirah malih jampijampen tanpa resep dokter pun sampun dicawis ing kioskios alit ing sedaya dhusun 
akses keluar dan masuk desa cukup memadai,akses medal uga mlebet dhusun cekap ngenteni 
singkatnya  ini merupakan jenis jalan yang berada satu tingkat di bawah jalan beraspal,singkatnya niki ngrupikaken jenis radin ingkang wonten setunggal tingkat ing ngandhap radin beraspal 
dengan demikian  jalan ini dapat dilalui setiap tahun,kaliyan mekaten radin niki saged kelangkungan saben taun 
transportasi umum seperti minibus dan ojek tersedia setiap hari  sedikitnya selama  jam,transportasi umum kados minibus uga ojek sampun dicawis saben dinten  sekedhikipun salebetipun jam 
dalam hal sanitasi  kebanyakan warga masyarakatnya memanfaatkan air sungai di sebelah barat desa untuk mandi,lebet hal sanitasi kekathahen warga masyarakatnyangginakaken toya lepen ing sisih kilen dhusun konjuk adus
sebaliknya  hampir semua anggota masyarakatnya mengkonsumsi air minum dari pam,sawalikipun hampir sedaya anggota masyarakatnyamengkonsumsi toya inum saking pam 
namun  di desa ini tidak terdapat kantor pos  dan kantor pos terdekat berjarak  km dari desa,nanging ing dhusun niki mboten enten kantor pos uga kantor pos paling celak ngantawis km saking dhusun 
bank resmi yang tersedia di desa ini adalah bank milik pemerintah ,bank resmi ingkang sampun dicawis ing dhusun niki yaiku bankgadhah pamerentah 
desa jungpasir desa jungpasir adalah satu di antara  desa di kecamatan wedung  di kabupaten demak,dhusun jungpasir dhusun jungpasir yaiku setunggal ing antawis dhusun ing kecamatan wedung ing kabupatendemak 
desa ini berjarak  km dari kota kabupaten dan sekitar  km dari kota kecamatan,dhusun niki ngantawis km saking kitha kabupaten uga sekitar km saking kitha kecamatan 
desa jungpasir berada jauh dari jalan negera jalan yang dibangun pemerintah pusat yang menghubungkan demak dan jepara,dhusun jungpasir wonten tebih saking radin negera radin ingkang dipunwungu pamerentah puser ingkang hubungaken demak uga jepara 
di desa tersebut  jalan utama terbuat dari aspal  meskipun telah mengalami banyak kerusakan akibat minimnya pemeliharaan,ing dhusun kesebat radin utami kedamel saking aspal senaosa sampun ngalami kathah karisakan akibat minimnya pangingahingah 
terdapat dua jalan utama yang menuju ke desa jungpasir,enten kalih radin utami ingkang menuju datheng dhusun jungpasir 
kondisi jalan di sisi jepara terawat dengan baik  sangat berbeda dengan kondisi jalan di demak,kondisi radin ing sisi jepara terawat kaliyan sae  benten sanget kaliyan kondisi radin ing demak 
ini membuat jarak tempuh dari ibu kota demak ke jungpasir hanya memerlukan satu jam,niki ndamel antawis tempuh saking ibu kitha demak datheng jungpasir namung mbetahaken setunggal jam 
alternatif jalan lainnya adalah melewati ibu kota kecamatan wedung,alternatif radin bentenipun yaiku nglangkungi ibu kitha kecamatan wedung 
namun  waktu perjalanan yang ditempuh menjadi lebih panjang  yakni lebih dari dua jam karena parahnya kondisi jalan,nanging wanci radin ingkang ditempuh dados langkung panjang  yakni langkung saking kalih jam amargi parahnya kondisi radin 
luas wilayah pemukiman hanya mencakupi  hektare dan dikelompokkan di area sepanjang jalan utama desa,wiyar wilayah pangawisan namung mencakupi hektare uga dikelompokkan ing area sapanjang radin utami dhusun 
sebagian luasnya diperuntukan bagi fasilitas umum  fasilitas keagamaan  tanah kuburan  dan lainlain,sakunjukan wiyaripun dipunkonjukakenan kunjuk fasilitas umum fasilitas kagamen siti petakan uga bentenbenten 
jenis pekerjaan lain adalah berjualan makanan dan buah,jenis padamelan benten yaiku mande tedhan uga buah 
kebanyakan warga masyarakat yang bekerja di sektor ini melakukan dagangnya di demak  jepara dan bahkan jakarta,kekathahen warga masyarakat ingkang nyambut damel ing sektor niki numindakake gramenipun ing demak jepara uga bahkan jakarta 
untuk sumber penerangan  setiap rumah mendapat pasokan listrik dari pln,konjuk sumber panempuhan saben griya nyaged pasokan listrik saking pln 
kebanyakan warga juga telah memiliki wc pribadi,kekathahen warga ugi sampun nggadhahi wc pribadi 
meski demikian  masih ada beberapa warga yang memanfaatkan air sungai atau wc milik tetangganya,parandosipun taksih enten beberapa warga ingkang ngginakaken toya lepen utawi wc gadhah tangginipun 
untuk desa yang terletak jauh dari ibu kota kabupaten  fasilitas pendidikan umumnya telah tersedia,konjuk dhusun ingkang manggen tebih saking ibu kitha kabupaten fasilitas pamucalan umumnya sampun sampun dicawis 
ada tiga sekolah dasar  satu sekolah menengah pertama sltp swasta dan satu sekolah menengah atas slta swasta,enten telu sekolah dasar setunggal sekolah madya setunggal sltp swasta uga setunggal sekolah madya inggil sltaswasta 
satusatunya fasilitas kesehatan yang tersedia adalah poliklinik umum yang dilayani seorang bidan dan seorang perawat,setunggalsetunggalipun fasilitas kesarasan ingkang sampun dicawis yaiku poliklinik umum ingkang dipunladosi satiyang bidanuga satiyang perawat 
di samping itu  ada juga dua dukun beranak,ing samping punika  enten ugi kalih dukun nduwe anak 
untuk pelayanan dokter umum atau dokter spesialis  warga masyarakat terpaksa harus pergi ke demak,konjuk paladosan dokter umum utawi dokter spesialis wargamasyarakat kepeksa kedah kesah datheng demak 
akan halnya fasilitas telekomunikasi  segelintir kecil warga masyarakat memiliki sambungan telepon sendiri,badhe halnya fasilitas telekomunikasi segelintir alit wargamasyarakat nggadhahi sambetan telepon piyambak 
meski demikian  terdapat enam wartel di desa tersebut,parandosipun enten enem wartel ing dhusun kesebat 
fasilitas umum yang lain seperti pasar  kantor pos  bank belum tersedia di desa tersebut,fasilitas umum ingkang benten kados peken kantor pos bankdereng sampun dicawis ing dhusun kesebat 
desa cibulakan cibulakan adalah satu dari  desa di kecamatan cugenang di kabupaten cianjur,dhusun cibulakan cibulakan yaiku setunggal saking dhusun ing kecamatan cugenang ing kabupaten cianjur 
desa ini dibagi atas tiga blok utama  yang secara keseluruhannya terdiri atas  rw dan  rt,dhusun niki dipunpara inggil telu blok utami ingkang samudayanipunipun badan inggil rw uga rt 
kelima rw pertama terletak di sisi jalan desa  sementara rw  terletak kirakira  km dari jalan desa dan dikelilingi persawahan,kegangsal rw setunggal manggen ing sisi radin dhusun sementara rw manggen udakawis km saking radin dhusun uga kepang sabinan
desa ini terletak kirakira  km dari ibu kota cianjur atau  km dari ibu kota cugenang,dhusun niki manggen udakawis km saking ibu kitha cianjurutawi km saking ibu kitha cugenang 
meski tidak berada dekat dengan jalanjalan antarkota  desa ini dapat diakses dari dua arah jalan yakni,senaos mboten wonten celak kaliyan mlampahmlampah antarkota dhusun niki saged diakses saking kalih arah radin yakni 
kedua jalan tersebut dapat dicapai dalam  menit waktu perjalanan dengan mobil dari desa tersebut,kaping kalih radin kesebat saged dicapai lebet menit wanci radin kaliyan mobil saking dhusun kesebat 
sementara itu  jalan dari jalan antarkota ke desa tersebut relatif terpelihara dengan baik  meskipun sangat sempit,sementara punika  radin saking radin antarkota datheng dhusun kesebat relatif keingah kaliyan sae  senaosa cupet sanget 
jalan ini telah memungkinkan transportasi umum seperti minibus untuk melayani desa,radin niki sampun mbokmenawikaken transportasi umum kados minibus konjuk ngladosi dhusun 
hal ini jelas membantu warga masyarakat untuk mencapai kota cianjur,hal niki pertela mbiantu warga masyarakat konjuk mencapaikitha cianjur 
selain minibus  transportasi umum lain yang ada di desa tersebut adalah jasa ojek yang melayani transportasi jarak pendek,kajawi minibus transportasi umum benten ingkang enten ing dhusun kesebat yaiku jasa ojek ingkang ngladosi transportasiantawis andhap 
jasa ojek ini secara khusus dimanfaatkan oleh warga masyarakat rw  yang tidak dilayani oleh minibus,jasa ojek niki sacara khusus dipunginakaken dening wargamasyarakat rw ingkang mboten dipunladosi dening minibus 
selain itu  jalan yang mengarah ke rw tersebut hanya dapat dilalui oleh ojek selama musim hujan,kajawi punika  radin ingkang ngleres datheng rw kesebat namung saged kelangkungan dening ojek salebetipun musimjawah 
menurut data terakhir dari bps  pada  luas wilayah cibulakan adalah  hektare,miturut data paling akhir saking bps ing wiyar wilayahcibulakan yaiku hektare 
wilayah terluas  hektare dipakai untuk kegiatan persawahan sepanjang tahun,wilayah paling wiyar hektare kunjuk konjuk kengungkukan sabinan sapanjang taun 
untuk wilayah tempat tinggal luasnya mencapai  hektare,konjuk wilayah panggen tilar wiyaripun mencapai hektare 
sisanya dimanfaatkan untuk kolam ikan dan fasilitas umum,tirahipun dipunginakaken konjuk kolam ulam uga fasilitas umum 
kebanyakan petani menanam padi  sementara hanya segelintir yang menanam sayursayuran atau mengusahakan budidaya ikan,kekathahen petani nanem pantun sementara namung segelintiringkang nanem sayursayuran utawi ngupadosaken budidayaulam 
cukup banyak warga masyarakat yang bekerja sebagai tki  khususnya di negaranegara timur tengah,cekap kathah warga masyarakat ingkang nyambut damel dados tki khususnya ing nagarinagari wetan madya 
keluargakeluarga tki umumnya relatif lebih makmur dibanding dengan keluargakeluarga lainnya,keluargakeluarga tki umumnya relatif langkung makmurdipunbanding kaliyan keluargakeluarga bentenipun 
mereka yang tidak memiliki air pdam dapat mengambilnya dari sumber air pdam yang tersedia secara gratis di mesjid setempat,piyambake sedaya ingkang mboten nggadhahi toya pdamsaged mendhetipun saking sumber toya pdam ingkang sampun dicawis sacara gratis ing mesjid sapanggen 
banyak warga telah memiliki fasilitas kamar mandi dan wc secara terpisah,kathah warga sampun nggadhahi fasilitas kamar adus uga wcsacara kesapih 
fasilitas pendidikan di desa tersebut terbatas,fasilitas pamucalan ing dhusun kesebat kewates 
terdapat empat sekolah dasar negeri dan satu sekolah menengah pertama sltp swasta,enten sekawan sekolah dasar negeri uga setunggal sekolahmadya setunggal sltp swasta 
meski demikian  sekolah lain juga relatif dekat,parandosipun sekolah benten ugi relatif celak 
terlebih lagi  sekolahsekolah yayasan islam yang dikelola secara lokal seperti pesantren juga tersedia di desa tersebut,tirahtirah malih sekolahsekolah yayasan islam ingkang dikelola sacara lokal kados pesantren ugi sampun dicawis ing dhusun kesebat 
tidak terdapat fasilitas layanan umum kesehatan di desa ini,mboten enten fasilitas ladosan umum kesarasan ing dhusun niki 
satusatunya yang pernah ada tidak digunakan lagi,setunggalsetunggalipun ingkang nate enten mboten dipunginakaken malih 
meski demikian  terdapat dua orang perawat yang telah membuka praktik pribadi di rumahnya dan demikian juga seorang bides,parandosipun enten kalih tiyang perawat ingkang sampun mbikak praktik pribadi ing griyanipun uga mekaten ugi satiyang bides 
fasilitas telekomunikasi umumnya banyak tersedia,fasilitas telekomunikasi umumnya kathah sampun dicawis 
jaringan telepon permanen tersedia dari telkom  meski jumlah pelanggan sangat kecil,jaringan telepon permanen sampun dicawis saking telkom senaos wilangan pelanggan alit sanget 
sementara  terdapat juga wartel yang tersedia bagi warga masyarakat,sementara enten ugi wartel ingkang sampun dicawis kunjuk warga masyarakat 
sebaliknya  telepon selular menjadi kian marak,sawalikipun telepon selular dados kian nyapih 
ketersediaan handset murah  sinyal telepon yang dapat diterima dengan baik  dan biaya komunikasi airtime yang sangat murah,ketersediaan handset mirah sinyal telepon ingkang saged katampi kaliyan sae  uga biaya komunikasi airtime ingkang mirah sanget
bentuk infrastruktur lain yang lebih besar seperti pasar  kantor pos  kantor polisi dan bank belum tersedia,bentuk infrastruktur benten ingkang langkung ageng kados peken kantor pos kantor polisi uga bank dereng sampun dicawis 
desa parakantugu sebelum tahun   parakantugu adalah bagian dari kecamatan kadupandak,dhusun parakantugu sadereng taun parakantuguyaiku kunjukan saking kecamatan kadupandak 
pada januari   ada pemekaran kecamatan menjadi dua kecamatan yakni,ing januari enten pamekrokan kecamatan dados kalih kecamatan yakni 
kecamatan kadupandak dan kecamatan cijati,kecamatan kadupandak uga kecamatan cijati 
desa parakantugu masuk menjadi bagian dari kecamatan baru,dhusun parakantugu mlebet dados kunjukan saking kecamatanenggal 
desa parakantugu terletak di sepanjang sungai cibuni yang kerap terjadi banjir selama musim penghujan,dhusun parakantugu manggen ing sapanjang lepen cibuniingkang asring kedadosan bena salebetipun musim panjawah 
desa ini terletak kirakira  km dari ibu kota cianjur dan  km dari kota kecamatan cijati,dhusun niki manggen udakawis km saking ibu kitha cianjuruga km saking kitha kecamatan cijati 
ironisnya  desa parakantugu hanya berjarak  km dari kota kecamatan kadupandak,ironisnya dhusun parakantugu namung ngantawis km saking kitha kecamatan kadupandak 
untuk menuju desa ini  waktu tempuh dengan mobil dari kota cianjur kurang lebih  hingga  jam,konjuk menuju dhusun niki  wanci tempuh kaliyan mobil saking kitha cianjur kirang langkung ngantos jam 
cianjur  sukanagara  kadupandak  parakantugu,cianjur sukanagara kadupandak parakantugu 
rute ini yang paling sulit karena buruknya kondisi jalan sepanjang  km menjelang kadupandak,rute niki ingkang paling rekaos amargi awonipun kondisi radin sapanjang km menjelang kadupandak 
namun  rute ini dilalui oleh transpor umum,nanging rute niki kelangkungan dening transpor umum 
cianjur  sukanagara  tanggeung  cigadog  parakantugu,cianjur sukanagara tanggeung cigadog parakantugu 
rute ini juga dalam kondisi buruk karena sepanjang  km hanya terdapat pengerasan,rute niki ugi lebet kondisi awon amargi sapanjang kmnamung enten pangatosan 
cianjur  sukanagara  wedung  parakantugu,cianjur sukanagara wedung parakantugu 
tranportasi umum lainya tidak diizinkan masuk menyusul pertikaian antara tukang ojek dan sopir minibus beberapa tahun yang lalu,tranportasi umum lainya mboten diizinkan mlebet ngurun rembug pertikaian antawis tukang ojek uga sopir minibusbeberapa taun ingkang lajeng 
rute ini paling baik dimanfaatkan jika membawa kendaraan pribadi  meski jalannya sangat sempit,rute niki paling sae dipunginakaken menawi mbekta tumpakan pribadi senaos radinipun cupet sanget 
minibus beroperasi pada pukul  hingga   sementara jasa ojek dipakai terutama untuk perjalanan di dalam desa,minibus beroperasi ing gebag ngantos sementarajasa ojek kunjuk paling utami konjuk radin ing lebet dhusun 
kondisi jalan utama di parakantugu tidak terawat dengan baik,kondisi radin utami ing parakantugu mboten terawat kaliyan sae 
sebagaian jalannya berbatubatu  bertanah dan sebagian kecilnya beraspal,dadosan radinipun nyelasela nduwe siti uga sakunjukan alitipun beraspal 
akan tetapi  loronglorong kecil menuju rumah warga telah diaspalkan dengan dana proyek pengembangan kecamatan,nanging loronglorong alit menuju griya warga sampun diaspalkan kaliyan dana proyek pengembangan kecamatan 
sayangnya tidak ada dana pemeliharaan dan hanya menunggu waktu saja sampai jalan ini kembali rusak,tresnanipun mboten enten dana pangingahingah uga namung nengga wanci kamawon ngantos radin niki wangsul risak 
menurut data bps   parakantugu memiliki luas  hektare,miturut data bps parakantugu nggadhahi wiyar hektare 
enam puluh persen dari wilayahnya adalah lahan padi yang dapat dipanen sekali setahun karena musim kering yang panjang,enem dasa persen saking wilayahnya yaiku pasiten pantun ingkang saged dipanen pisan sataun amargi musim aking ingkang panjang 
untuk pemukiman penduduk  luas lahan yang terpakai kirakira  dari total lahan yang ada,konjuk pangawisan para wargi  wiyar pasiten ingkang kangge udakawis saking total pasiten ingkang enten 
kebanyakan warga masyarakat lahir di desa tersebut dan hanya ada sedikit pendatang,kekathahen warga masyarakat lair ing dhusun kesebat uga namung enten sekedhik pandatheng 
sebagian kecil bekerja sebagai pedagang  pns dan karyawan,sakunjukan alit nyambut damel dados panggramen pns uga karyawan 
kaum muda bekerja sebagai buruh bangunan  buruh angkut dan tukang ojek,kaneman nyambut damel dados berah wungon berah usung uga tukang ojek 
selain itu  banyak perempuan di desa ini bekerja sebagai tkw di saudi arabia,kajawi punika  kathah estri ing dhusun niki nyambut damel dados tkw ing saudi arabia 
tidak ada fasilitas kesehatan di desa ini  meski demikian desa ini memiliki seorang bides,mboten enten fasilitas kesarasan ing dhusun niki  parandosipun dhusun niki nggadhahi satiyang bides
juga terdapat tiga dukun beranak yang banyak diminta bantuannya,ugi enten telu dukun nduwe anak ingkang kathah dipuntedha bantuannya 
dalam hal fasilitas pendidikan  terdapat empat sdn dan satu sltp swasta,lebet hal fasilitas pamucalan enten sekawan sdn uga setunggal sltp swasta 
untuk ke slta terdekat perlu jarak tempuh satu jam perjalanan dengan mobil,konjuk datheng slta paling celak betah antawis tempuhsetunggal jam radin kaliyan mobil 
mungkin ini menjadi alasan utama mengapa kebanyakan anak usia sekolah menjadi putus sekolah setelah menyelesaikan sltp,bokmenawi niki dados alasan utami kenging punapa kekathahen anak umur sekolah dados putus sekolah saksampune ndumugekaken sltp 
profil kuantitatif desa cbms bagian ini menjelaskan profil desa cbms yang terbagi atas enam katagori,profil kuantitatif dhusun cbms kunjukan niki mertelakaken profil dhusun cbms ingkang kunjuk inggil enem katagori 
penduduk tabel vii memberikan karakteristik populasi keempat desa cbms,para wargi tabel vii nyukakaken karakteristik populasi kaping sekawan dhusun cbms 
terdapat  keluarga di cibulakan  dengan ratarata jumlah anggota dalam keluarga  orang,enten keluarga ing cibulakan kaliyan radinradin wilangan anggota lebet keluarga tiyang 
jumlah ini sedikit lebih tinggi dibandingkan dengan jumlah ideal ratarata anggota keluarga menurut bkkbn  yakni empat orang,wilangan niki sekedhik langkung inggil dipunbandingaken kaliyan wilangan ideal radinradin anggota keluarga miturut bkkbn yakni sekawan tiyang 
ratarata jumlah anggota keluarga sudah ideal  yakni  per keluarga,radinradin wilangan anggota keluarga sampun ideal yakni saben keluarga 
jumlah lakilaki sedikit lebih banyak dibandingkan jumlah perempuan di desa ini dan  keluarga dikepalai oleh perempuan,wilangan kakung sekedhik langkung kathah dipunbandingaken wilangan estri ing dhusun niki uga keluarga dipunsirahi dening estri 
sebagaimana di desadesa lainnya  keluarga yang dikepalai perempuan umumnya adalah keluarga dengan orang tua tunggal,sami kaliyan ing desadesa bentenipun keluarga ingkang dipunsirahi estri umumnya yaiku keluarga kaliyan tiyang sepuh tunggil 
sementara itu   keluarga dikepalai oleh perempuan,sementara punika  keluarga dipunsirahi dening estri 
di desa jungpasir  terdapat  keluarga,ing dhusun jungpasir enten keluarga 
ratarata jumlah anggota lebih besar  yakni  orang per keluarga,radinradin wilangan anggota langkung ageng yakni tiyang saben keluarga 
jumlah lakilaki dan perempuan di desa ini berimbang,wilangan kakung uga estri ing dhusun niki berimbang 
sementara hanya  keluarga yang dikepalai oleh perempuan yang kebanyakan adalah janda mati atau cerai,sementara namung keluarga ingkang dipunsirahi dening estri ingkang kekathahen yaiku randha pejah utawi cerai 
sebanyak  kepala keluarga di cibulakan berstatus bekerja,sakathah sirah keluarga ing cibulakan berstatus nyambut damel 
dari jumlah keluarga yang kepala keluarganya tidak bekerja  umumnya terdapat anggota keluarga lain yang juga bekerja,saking wilangan keluarga ingkang sirah keluarganya mboten nyambut damel  umumnya enten anggota keluarga benten ingkang ugi nyambut damel 
akan tetapi  terdapat  keluarga yang tidak memiliki anggota yang bekerja,nanging enten keluarga ingkang mboten nggadhahi anggotaingkang nyambut damel 
tingkat angka pekerja di cibulakan sangat rendah  khususnya di kalangan perempuan,tingkat angka panyambut damel ing cibulakan andhap sanget khususnya ing kalangan estri 
secara keseluruhan  hanya separo lebih dari kaum dewasa yang bekerja,samudayanipun namung separo langkung saking kaum dewasaingkang nyambut damel 
tingkat angka pekerja di kalangan perempuan dewasa sangat rendah  yakni ,tingkat angka panyambut damel ing kalangan estri dewasaandhap sanget yakni 
sementara itu   memiliki dua sumber pendapatan yang umumnya adalah kepala keluarga dan pasangannya atau anaknya,sementara punika  nggadhahi kalih sumber pamanahan ingkang umumnya yaiku sirah keluarga uga pasanganipun utawi anakipun 
seperti telah disebutkan di atas pada bagian vi  hampir separo penduduk bekerja di sektor pertanian,kados sampun kanamanaken ing inggil ing kunjukan vi hampirseparo para wargi nyambut damel ing sektor pertanian 
sekitar  bekerja di sektor jasa  terutama sopir  pekerja bangunan  dan guru,sekitar nyambut damel ing sektor jasa paling utami sopir panyambut damel wungon uga guru 
lainnya bekerja pada industri kecil atau membuka tokotoko kecil,bentenipun nyambut damel ing industri alit utawi mbikak tokotoko alit 
ada juga yang menerima kiriman uang dari kerabat,enten ugi ingkang nampi kentunan arta saking kerabat 
tingkat angka pekerja di antara penduduk usia kerja di parakantugu sangat rendah  yakni hanya  yang bekerja,tingkat angka panyambut damel ing antawis para wargi umur nyambut damel ing parakantugu andhap sanget yakni namung ingkang nyambut damel 
sementara itu  hampir separo memiliki dua anggota yang bekerja,sementara punika  hampir separo nggadhahi kalih anggotaingkang nyambut damel 
sementara itu  mayoritas masyarakat bekerja di sektor pertanian  hal yang lazim ditemukan di perdesaan di jawa,sementara punika  mayoritas masyarakat nyambut damel ing sektor pertanian hal ingkang limrah dipunpanggihaken ing pandhusunan ing jawi
sektor jasa yang banyak diminati masyarakat adalah sopir bus  tukang ojek dan buruhpekerja bangunan,sektor jasa ingkang kathah diminati masyarakat yaiku sopir bus tukang ojek uga berahpanyambut damel wungon 
dari tabel vii dapat dilihat bahwa hanya  kepala keluarga di jungpasir yang tidak memiliki pekerjaan,saking tabel vii saged dipunningal menawi namung sirah keluarga ing jungpasir ingkang mboten nggadhahi padamelan 
hal ini diperkuat oleh fakta bahwa hanya  keluarga yang tidak memiliki anggota keluarga yang bekerja,hal niki dipunkiyataken dening fakta menawi namung keluarga ingkang mboten nggadhahi anggota keluarga ingkang nyambut damel 
keluarga tersebut biasanya keluarga orang tua tunggal yang menerima kiriman dari keluarga lain,keluarga kesebat biyasanipun keluarga tiyang sepuh tunggil ingkang nampi kentunan saking keluarga benten 
tabel yang sama memperlihatkan bahwa tingkat angka pekerja lebih tinggi pada lakilaki dibanding pada perempuan,tabel ingkang sami ningalaken menawi tingkat angka panyambut damel langkung inggil ing kakung dipunbanding ing estri 
hal ini dapat disebabkan oleh fakta bahwa perempuan terkonsentrasi pada pekerjaan domestik di rumah untuk mengurus keluarga,hal niki saged sangking dening fakta menawi estri terkonsentrasiing padamelan domestik ing griya konjuk ngera keluarga 
tampak terdapat kondisikondisi khusus di kabupaten yang mempengaruhi penyerapan tenaga kerja,katingal enten kondisikondisi khusus ing kabupaten ingkang mempengaruhi penyerapan tenaga nyambut damel 
di cianjur  tingkat penyerapan tenaga kerja lebih rendah dibandingkan dengan demak,ing cianjur tingkat penyerapan tenaga nyambut damel langkung andhap dipunbandingaken kaliyan demak 
sebaliknya  sekitar separo keluarga di demak memiliki dua orang anggota keluarga yang bekerja,sawalikipun sekitar separo keluarga ing demak nggadhahi kalih tiyang anggota keluarga ingkang nyambut damel 
sementara itu  pada tabel vii menyediakan tingkat melek aksara dan tingkat pendidikan warga usia kerja di desadesa ini,sementara punika  ing tabel vii nyawisaken tingkat melekaksara uga tingkat pamucalan warga umur nyambut damel ing dhusundhusun niki 
dalam hal tingkat pendidikan  kaum dewasa di cibulakan relatif memiliki tingkat pendidikan yang lebih rendah,lebet hal tingkat pamucalan kaum dewasa ing cibulakan relatifnggadhahi tingkat pamucalan ingkang langkung andhap 
mayoritas    hanya tamat sd  dengan  bahkan tidak tamat sd,mayoritas namung rampung sd kaliyan bahkanmboten rampung sd 
hanya  yang mengenyam pendidikan tinggi,namung ingkang mengenyam pamucalan inggil 
tingkat pendidikan di kalangan penduduk usia kerja sangat rendah,tingkat pamucalan ing kalangan para wargi umur nyambut damel andhap sanget 
tingkat pendidikan yang lebih tinggi lebih banyak diperoleh lakilaki dibanding perempuan,tingkat pamucalan ingkang langkung inggil langkung kathah dipundeningaken kakung dipunbanding estri 
secara umum  tampaknya lakilaki memiliki kesempatan yang lebih besar untuk mengakses pendidikan yang lebih tinggi,sacara umum katingalipun kakung nggadhahi kesempataningkang langkung ageng konjuk mengakses pamucalan ingkang langkung inggil 
secara keseluruhan   orang dewasa dapat membaca dan menulis,samudayanipun tiyang dewasa saged maos uga nyerat 
sebanyak  penduduk usia kerja telah mengenyam pendidikan dasar enam tahun atau kurang dari enam tahun,sakathah para wargi umur nyambut damel sampun mengenyam pamucalan dasar enem taun utawi kirang saking enem taun 
hanya  telah mengenyam pendidikan tinggi,namung sampun mengenyam pamucalan inggil 
hal ini konsisten dengan sektor lapangan kerja utama di desa itu  di mana  keluarga bermata pencaharian di sektor pertanian,hal niki konsisten kaliyan sektor lapangan nyambut damel utami ing dhusun punika  ing pundi keluarga nduwe mripat pencaharian ing sektor pertanian 
hanya  dari penduduk yang telah menyelesaikan pendidikan slta dan hanya  yang berpendidikan tinggi,namung saking para wargi ingkang sampun ndumugekaken pamucalan slta uga namung ingkang berpendidikan inggil 
bahkan terdapat  tidak menyelesaikan pendidikan sd,bahkan enten mboten ndumugekaken pamucalan sd 
sekitar  di antaranya belum melek aksara dan kebanyakan adalah kaum perempuan,sekitar ing antawisipun dereng melek aksara uga kekathahen yaiku kaum estri 
mereka yang belum melek aksara umumnya adalah orang dewasa yang tidak pernah lagi membaca selama beberapa waktu yang lama,piyambake sedaya ingkang dereng melek aksara umumnyayaiku tiyang dewasa ingkang mboten nate malih maos salebetipun beberapa wanci ingkang dangu 
meskipun dahulunya ketika masih muda mereka dapat membaca  saat ini mereka tidak lagi mampu membaca,senaosa riyenipun nalika taksih enem piyambake sedaya saged maos  kala niki piyambake sedaya mboten malih saged maos 
angka partisipasi murni sd di dua desa di cianjur relatif lebih rendah dibanding desadesa di demak,angka partisipasi murni sd ing kalih dhusun ing cianjur relatiflangkung andhap dipunbanding dhusundhusun ing demak 
sementara itu  angka partisipasi murni dari siswa perempuan lebih rendah pada ketiga tingkat pendidikan,sementara punika  angka partisipasi murni saking siswa estri langkung andhap ing ketelu tingkat pamucalan 
seperti terlihat pada tabel vii  angka putus sekolah siswa di cibulakan dimulai pada tingkat yang paling bawah,kados keningal ing tabel vii angka putus sekolah siswa ing cibulakan dipunawiti ing tingkat ingkang paling ngandhap 
sebanyak  dari anak usia enam hingga  tahun meninggalkan bangku sekolah,sakathah saking anak umur enem ngantos taun mengker bangku sekolah 
namun  tabel ini menunjukkan bahwa mereka yang putus sekolah belum tentu bekerja,nanging tabel niki nunjukaken menawi piyambake sedaya ingkang putus sekolah dereng tentu nyambut damel 
secara keseluruhan  hanya    dan  dari anak usia sekolah pada masingmasing tingkat pendidikan benarbenar bekerja,samudayanipun namung uga saking anak umur sekolah ing masingmasing tingkat pamucalan leresleres nyambut damel 
angka putus sekolah di parakantugu mencerminkan tingkat partisipasi murni seperti dalam tabel vii,angka putus sekolah ing parakantugu mangilonaken tingkat partisipasi murni kados lebet tabel vii 
di kedondong   anak usia sekolah dasar bekerja  sementara hampir separo anak usia sekolah menengah atas bekerja,ing kedondong anak umur sekolah dasar nyambut damel  sementara hampir separo anak umur sekolah madya inggil nyambut damel 
desa ini memiliki paling banyak anak usia sekolah yang bekerja dibanding dengan ketiga desa lainnya,dhusun niki nggadhahi paling kathah anak umur sekolah ingkang nyambut damel dipunbanding kaliyan ketelu dhusun bentenipun 
tingkat penggunaan alat kontrasepsi di cibulakan relatif rendah  yakni ,tingkat pangginan pirantos kontrasepsi ing cibulakan relatifandhap yakni 
kontrasepsi yang paling banyak dipakai ialah yang melalui suntikan  kemudian disusul oleh pil,kontrasepsi ingkang paling kathah kunjuk piyambakipun ingkang langkung suntikan lajeng disusul dening pil 
terlebih lagi  tingkat imunisasi juga rendah di cibulakan,tirahtirah malih tingkat imunisasi ugi andhap ing cibulakan 
hanya  bayi yang telah menerima imunisasi lengkap dan rasio dari tiap jenis imunisasi bervariasi antara  dan ,namung bayi ingkang sampun nampi imunisasi pepak uga rasio saking saben jenis imunisasi bervariasi antawis uga 
kelahiran yang ditangani dokter atau bides juga rendah yakni ,kelairan ingkang dipuntangani dokter utawi bides ugi andhap yakni 
hal ini dapat dimengerti karena dukun beranak biasanya tidak memungut biaya mahal,hal niki saged dipunngertos amargi dukun nduwe anak biyasanipun mboten mendhet biaya awis
